Dr. Dominick Doyle, Jynx, macaw
Jeffry Halvorson, Flareon, cod
Geraldo Koss III, Staryu, jackal
Ezequiel Tromp, Graveler, hippopotamus
Lupe Koepp, Sandslash, rabbit
Adelia Hamill, Machamp, eel
Maribeth Rippin, Drowzee, clam
Clifton Lynch I, Goldeen, leopard
Ms. Elvin Robel, Ivysaur, mole
Stanton Koelpin, Magnemite, mosquito
Stacey Emard, Venomoth, crocodile
Rigoberto Schulist III, Seel, kangaroo
Lowell D'Amore, Bulbasaur, dinosaur
Kasi Balistreri, Squirtle, hound
Ms. Gilberte Welch, Charmeleon, eagle
Miss Reena Hoeger, Lapras, sheep
Quincy Jacobi, Machoke, cattle
Miss Coreen Mayer, Magmar, coyote
Ms. Douglas Schimmel, Parasect, raven
Arron Considine, Zubat, duck
Doug Labadie, Dragonair, goose
Laureen Zemlak, Mew, hedgehog
Miss Dewitt Senger, Onix, lion
Miss Randa Runte, Seadra, butterfly
Mr. Porter Yundt, Kakuna, goat
Jestine Harvey, Magmar, elephant
Mr. Kasey Bauch, Tauros, serval
Raleigh Zboncak, Articuno, yellowjacket
Alexander Reynolds IV, Gloom, hare
Santos Satterfield, Koffing, lizard
Keven Halvorson III, Persian, hornet
Barton Hane, Mewtwo, armadillo
Minh Gaylord, Tentacruel, cod
Toby Terry III, Koffing, crow
Donnell Kuhn Sr., Lapras, duck
Juanita Wintheiser, Charizard, crab
Miss Rena Klocko, Fearow, guinea pig
Lindy Bayer, Rhydon, cockroach
Mrs. Gavin Beahan, Poliwhirl, crocodile
Mr. Miriam Daniel, Aerodactyl, oyster
Cristen Grant, Tentacruel, sardine
Margart Senger, Wigglytuff, whale
Jillian Rippin, Exeggcute, armadillo
Elias Hegmann, Venonat, alligator
Rosalie Koss, Goldeen, moose
Tonia Hansen, Krabby, eagle
Teddy Stehr, Koffing, chinchilla
Dr. Karin Von, Diglett, hare
Antoine Collins, Ivysaur, mallard
Ms. Fred O'Kon, Seadra, clam
