Dee Beier, Electabuzz, cheetah
Mrs. Liz Turcotte, Horsea, donkey
Florene Kuhlman, Arbok, cheetah
Dennise Raynor, Jigglypuff, chinchilla
Kathern Abshire, Butterfree, reindeer
Allan Gibson, Pinsir, antelope
Shon Mitchell III, Koffing, fly
Serena Hamill, Raichu, gnat
Ms. Marquis Kilback, Kabuto, tiger
Fritz Schoen, Beedrill, cod
Ellamae Macejkovic I, Oddish, salmon
Miss Mitchel Rippin, Horsea, lion
Mose Hilll, Ditto, butterfly
Kandi Williamson, Arbok, cod
Desmond Hudson, Kadabra, hedgehog
Joanie O'Conner, Onix, gorilla
Garfield MacGyver, Fearow, porpoise
Avery Ebert DDS, Nidorina, giraffe
Mila Fadel, Alakazam, bee
Donte Dickens PhD, Vileplume, coyote
Colin Towne, Vileplume, rabbit
Laronda Daniel, Clefable, moose
Dr. Ermelinda Cruickshank, Magneton, fly
Marie Kling, Vileplume, dog
Dr. Janyce Runolfsson, Abra, rabbit
Yong Friesen, Charmander, raven
Miss Dexter Bergstrom, Oddish, yak
Temeka Kshlerin I, Doduo, muskrat
Cayla Beer, Chansey, elk
Sidney Morissette, Ekans, deer
Kasi Hammes, Magikarp, frog
Mauro Hand, Scyther, beetle
Zackary Glover Sr., Kadabra, louse
Walter Haag, Shellder, donkey
Bart Lowe DDS, Seaking, cheetah
Foster Predovic II, Rhydon, jackal
Erwin Gottlieb, Machoke, alpaca
Horacio Graham, Doduo, donkey
Jonie Legros, Magikarp, prairie dog
Vania Schneider, Scyther, rhinoceros
Elois Stokes DVM, Psyduck, raccoon
Alyse Weimann, Zapdos, panda
Josefa Schmidt DDS, Charmeleon, caribou
Miss Zenaida Keebler, Golduck, porpoise
Mr. Chas Medhurst, Nidoran, oyster
Ms. Altagracia Ebert, Dragonair, badger
Miguel Considine, Psyduck, wombat
Miss Suanne Gleichner, Chansey, yak
Paulette DuBuque, Psyduck, cicada
Christiana Connelly, Tentacool, muskrat
