Miss Lucie Marks, Slowpoke, mammoth
Patrick Doyle, Venusaur, lizard
Bradley Waelchi, Charmander, armadillo
Francisca Hills, Poliwag, leopard
Emilio Beahan, Alakazam, goose
Matilde Pagac, Clefairy, alligator
Elden Wilderman III, Machamp, camel
Dr. Alma Cole, Mew, worm
Verena Runolfsdottir PhD, Dodrio, eel
Joel Stokes, Magnemite, eagle
Adina Romaguera Jr., Jigglypuff, wolf
Cammie Corwin, Zubat, hedgehog
Alpha Schimmel, Tauros, leopard
Ali Robel, Magneton, pig
Cristie Wiza, Wigglytuff, donkey
Mignon Schoen, Dragonair, bee
Edmond Langosh DDS, Hypno, oyster
Anisha Wilkinson, Pidgey, wombat
Miss Leana Hammes, Clefable, ant
Warner Terry, Raticate, hound
Mr. Ted Reichel, Golduck, otter
Walker Bashirian, Poliwrath, hamster
Marnie Conn V, Persian, trout
Bertram Cruickshank, Ekans, guinea pig
Rogelio Schiller, Persian, cheetah
Miss Mi Brown, Golbat, platypus
Marvin Kuvalis, Hitmonchan, deer
Todd Spinka, Clefable, squirrel
Daniel Roberts, Jynx, turtle 
Fred Ziemann, Moltres, mule
Austin Fritsch, Slowpoke, grasshopper
Asha Mertz, Pidgeot, pug
Percy Leffler, Vulpix, spider
Elisha Kuvalis, Dragonair, salmon
Cherly Padberg, Growlithe, gerbil
Jonas Leannon, Raichu, mink
Mrs. Jacqulyn Schuppe, Staryu, eel
Cristine McKenzie III, Eevee, guinea pig
Willis Runolfsdottir DDS, Golem, camel
Manuela Lind, Aerodactyl, frog
Georgann Lubowitz, Kingler, donkey
Raelene Smitham, Ivysaur, cheetah
Cletus Denesik, Snorlax, mosquito
Selena Murazik, Magmar, walrus
Demetra Quitzon, Starmie, mallard
Renato Dach, Electrode, rat
Fredric Fay MD, Dratini, locust
Shalanda Greenfelder DDS, Charizard, gerbil
Raleigh Reynolds, Weedle, horse
Chris Pouros, Clefairy, ant
