Miss Harold Abernathy, Zapdos, jellyfish
Judi Bergnaum, Weepinbell, weasel
Vergie Leannon, Nidorina, panda
Nicola Goodwin, Porygon, hamster
Otilia Smitham Sr., Eevee, rhinoceros
Harold Champlin PhD, Horsea, wildebeest
Wilton Skiles, Grimer, sheep
Rubin Jerde, Mr. Mime, macaw
Travis Reynolds, Charmeleon, mole
Reynalda Emard, Golduck, turtle 
Yuriko Monahan III, Snorlax, ant
Mr. Terrell Stanton, Abra, mole
Elois Schmeler, Wartortle, oyster
Gavin Ankunding, Vileplume, eel
Miss Joey Schuppe, Dugtrio, impala
Federico Rodriguez, Rattata, ferret
Cletus Schowalter, Dodrio, cat
Robbie Russel, Seel, prairie dog
Mrs. Kitty Cremin, Starmie, turtle 
Hershel Goodwin, Lickitung, baboon
Tara Mayer, Gloom, worm
Brandon Sawayn II, Poliwag, chinchilla
Miss Timmy Rosenbaum, Eevee, caribou
Mr. Hoyt Breitenberg, Electrode, elk
Mr. Merri Rice, Cubone, goose
Bula Wolf, Aerodactyl, termite
Esmeralda Bernhard, Victreebel, hornet
Hulda Kessler, Fearow, beetle
Del Ritchie, Metapod, cattle
Darlene Cummings, Psyduck, whale
Mrs. Irving Will, Dugtrio, jellyfish
Margo Braun, Flareon, herring
Clorinda Jerde, Farfetch'd, grasshopper
Chase Crist, Dodrio, pug
Jody Kautzer III, Bulbasaur, hare
Tressie O'Reilly, Wigglytuff, wombat
Rob Ruecker, Poliwag, hyena
Karima Rutherford, Exeggutor, hamster
Yung Grimes, Alakazam, walrus
Truman Kessler, Koffing, sheep
Dr. Mozelle Abernathy, Kakuna, cicada
Beata West, Venusaur, elk
Miss Freddy Morissette, Squirtle, beaver
Daren Lockman, Weepinbell, kangaroo
Josh Powlowski I, Mewtwo, swan
Mrs. Julio Crist, Nidoran, dinosaur
Joye King, Kabutops, eel
Byron Gleichner, Persian, cricket
Kiersten Bergnaum, Jolteon, pig
Sonia O'Keefe, Butterfree, yellowjacket
