Olene Sauer, Electabuzz, minnow
Mrs. Irvin Walter, Nidoran, wasp
Mel Hilpert, Weepinbell, mole
Diego Koelpin, Blastoise, bear
Noe Barton, Nidoran, weasel
Madalyn VonRueden, Magmar, giraffe
Tyson Roob, Kangaskhan, caribou
Ava Turcotte, Clefable, otter
Preston Erdman, Meowth, gnu
Mark Ruecker, Primeape, zebra
Tanya Cummerata, Goldeen, whale
Mr. Johnie Hilll, Kabuto, fish
Susann Feeney, Ekans, trout
Jarrod Davis, Tauros, rhinoceros
Trang Beier, Butterfree, cicada
Adelaida Muller, Golem, snail
Mrs. Stephany Gleichner, Hitmonlee, elk
Quinn Quigley, Omanyte, monkey
Mr. Sena O'Keefe, Hitmonlee, lizard
Jarrett Marvin, Venonat, ape
Mandy Franecki MD, Magnemite, dog
Janet Pagac, Electrode, wildebeest
Johnathan Kuhic, Nidoqueen, crow
Rusty Schumm, Ekans, cicada
Jorge Toy, Nidoran, goat
Angeline Ebert, Rattata, rat
Florene Greenholt, Clefairy, wallaby
Pearline Dare, Oddish, elephant
Ms. Refugio Zieme, Rattata, camel
Paulette Kuhn, Starmie, herring
Margorie Ryan, Metapod, wombat
Lana White PhD, Flareon, baboon
Tijuana Douglas, Porygon, elk
Lera Kuhn, Voltorb, mammoth
Shelly Lubowitz, Machop, whale
Homer Grant DVM, Sandslash, gnu
Erik Heller, Gengar, snake
Shyla Smith, Ditto, buffalo
Kaleigh Wilderman II, Pidgey, otter
Cherri Vandervort, Omanyte, bear
Sean Barrows, Cloyster, camel
Cora Grady, Golduck, grasshopper
Mr. Fred Kshlerin, Golem, moose
Charlie Ankunding, Magikarp, shark
Hiram O'Keefe, Golbat, kangaroo
Miss Alexander Mraz, Golem, ox
Laverna Emmerich, Gengar, fly
Frederica Lowe I, Chansey, squirrel
Mr. Ilse Little, Dodrio, eel
Tamar Stoltenberg, Poliwag, camel
