Arielle Bogisich, Kakuna, antelope
Annie Weimann II, Alakazam, raven
Mike Considine, Dodrio, wasp
Kenna Witting, Metapod, lion
Jacquie Vandervort, Onix, dolphin
Keven Towne, Arcanine, giraffe
Arden Stark, Venonat, gnu
Magen Barrows DDS, Blastoise, reindeer
Alec Ziemann, Golbat, woodchuck
Edison Schamberger, Wartortle, moose
Rebecka Medhurst, Gyarados, badger
Burma Cartwright, Persian, crab
Mrs. Mafalda Hilll, Flareon, wombat
Agatha Fahey, Arcanine, raccoon
Elmer Fritsch, Magikarp, pug
Sidney Block, Raichu, termite
Lenna Dibbert Sr., Hitmonchan, oyster
Nickolas Schinner, Seaking, rabbit
Dr. Teofila Murazik, Scyther, gerbil
Arnetta Zemlak II, Tauros, baboon
Mrs. Nicolas White, Sandslash, antelope
Kathern Collier I, Meowth, fly
Sol Russel, Mew, hound
Donald Stroman, Rattata, mole
Lynn Koelpin, Exeggcute, louse
Mr. Milly Fisher, Machop, giraffe
Fredrick Skiles, Abra, goose
Everett Brekke Sr., Raticate, mosquito
Adolph Kuhn, Pidgeotto, woodchuck
Dr. Clare Schimmel, Cubone, manatee
Sofia O'Kon, Electrode, goldfish
Thu Dooley, Weedle, leopard
Chester Kuphal, Squirtle, moose
Alonso Wilderman, Scyther, macaw
Melissa Schaefer, Farfetch'd, bear
Anna Denesik, Meowth, grasshopper
Clement Herzog, Dratini, scorpion
Thad Greenfelder, Eevee, wasp
Eleanor Veum, Gloom, wombat
Bertha Bogan, Drowzee, elk
Georgene Schmeler, Machamp, rhinoceros
Dustin Pouros, Persian, spider
Jerald Lakin, Dugtrio, mule
Hertha Kessler, Lapras, zebra
Aaron Stracke DDS, Electabuzz, horse
Francoise Anderson, Butterfree, beaver
Florence Simonis, Vaporeon, monkey
Leticia Franecki, Pidgeotto, mammoth
Christi Sauer, Oddish, fly
Margarite Pfeffer, Zapdos, herring
