Gerald Schmidt, Sandshrew, porpoise
Ebonie Schinner, Dodrio, sheep
Darrell Grimes, Onix, hare
Stephnie Cartwright, Marowak, raccoon
Olivia Tremblay, Rhyhorn, eagle
Shanell Senger, Parasect, rat
Andria Watsica, Caterpie, louse
Adolph Thiel DVM, Flareon, hare
Kathlene Considine, Oddish, koala
Sallie Watsica, Bellsprout, cricket
Ozzie Abbott, Bellsprout, oyster
Gretta McGlynn I, Fearow, alpaca
Jen Kerluke Jr., Abra, snake
Danny Davis, Porygon, termite
Ms. Julee Schiller, Starmie, mink
Wally Franecki, Rattata, salmon
Mrs. Kristopher Batz, Gastly, lion
Octavio Lemke, Koffing, swan
Neida Torphy PhD, Jynx, shark
Marco Trantow, Cubone, jackal
Luz Lindgren, Pidgeot, rhinoceros
Verdell Herman DDS, Goldeen, donkey
Jayme Jacobi MD, Spearow, cricket
Hosea Boyer III, Metapod, deer
Minh Kuvalis V, Kabuto, cockroach
Louie Turcotte, Cubone, hedgehog
Mr. Trenton Lowe, Victreebel, wasp
Gaston Schroeder II, Poliwrath, snail
Ashlee Oberbrunner, Muk, mule
Elliot Gutkowski, Mr. Mime, eel
Randa Wuckert DVM, Poliwag, goldfish
Treva O'Connell, Victreebel, lizard
Mary Auer, Muk, worm
Glady Nienow, Dragonair, spider
Edith Bailey, Cubone, skunk
Walton Metz, Metapod, zebra
Dannielle Ullrich, Ninetales, baboon
Amado Ondricka IV, Hypno, mink
Sondra Bins, Nidoqueen, lizard
Forest Dickinson IV, Mew, chimpanzee
Antwan Emmerich, Tauros, mallard
Irwin Greenholt, Ninetales, sheep
Mr. Chelsey Jast, Articuno, clam
Olympia Hammes, Mr. Mime, scorpion
Ricardo Harber, Vulpix, crab
Lorilee Stark, Beedrill, hare
Jeanie Kassulke, Starmie, jackal
Mellisa D'Amore, Butterfree, serval
Delois Koelpin, Pidgeot, manatee
Katina Erdman, Poliwag, pug
