Irina Hand, Oddish, toad
Irmgard Cassin MD, Hypno, eel
Tona Kautzer, Ivysaur, hamster
Christine Purdy PhD, Magikarp, frog
Brent Heidenreich, Rattata, dinosaur
Clair Mertz, Rhydon, mouse
Kittie Bartoletti Jr., Ditto, serval
Steve Connelly, Rapidash, alligator
Karole Balistreri, Ditto, dolphin
Miss Florencio Tromp, Jynx, wasp
Burton Price, Mew, giraffe
Ms. Silas Kovacek, Vileplume, koala
Jeanette Towne, Electabuzz, shark
Ms. Vernice Weimann, Zapdos, mink
Angella Gerhold, Nidorino, alligator
Becki Jakubowski, Primeape, alligator
Fletcher Zboncak, Chansey, manatee
Judson Funk, Charmeleon, clam
Merrill Schiller, Ivysaur, clam
Ali Marks, Golem, chinchilla
Sade Rogahn, Butterfree, rat
Delaine Gibson, Gloom, serval
Tawny Hessel, Nidoking, squirrel
Dr. Jasper Sauer, Magnemite, woodchuck
Kayla Green, Poliwag, ant
Mrs. Dwana Kulas, Pidgeot, seal
Del Kunde, Nidoking, turtle 
Christopher Rippin, Zapdos, antelope
Grant Hammes, Machop, dolphin
Tasha Mills, Exeggutor, hamster
Clay Leuschke, Hitmonlee, armadillo
Felica Gusikowski DVM, Tentacool, wasp
Henrietta Torphy, Jolteon, serval
Lizzie Kris, Kakuna, otter
Anisa Hickle, Weezing, bear
Tu Koepp, Fearow, chimpanzee
Miss Burt Rau, Diglett, fox
Damien Parisian, Raichu, gnat
Dione Satterfield, Lickitung, mallard
Ora Willms, Lapras, whale
Harold Collier, Flareon, elephant
Ludivina Schumm III, Dragonair, hedgehog
Donn Kuhic, Weepinbell, goldfish
Lashell Bernier II, Kabuto, mole
Ms. Aretha Reichel, Arcanine, snail
Hoyt Lynch, Dragonite, goldfish
Ismael Spinka, Nidoran, duck
Shelba Altenwerth, Wigglytuff, whale
Genaro Gulgowski, Onix, cat
Yukiko Lind, Jynx, coyote
