Mrs. Eduardo Jones, Dewgong, elephant
Ernest Stoltenberg, Farfetch'd, hornet
Marquis Beer Sr., Starmie, giraffe
Marcelino Mosciski, Machoke, raccoon
Noah Skiles, Arbok, yak
Don Pagac, Nidoran, dolphin
Bonita Kreiger III, Poliwhirl, goat
Marchelle Stiedemann, Geodude, alpaca
Dr. Sally Nienow, Caterpie, water buffalo
Jacob Braun, Horsea, kangaroo
Etha Mertz, Hitmonlee, macaw
Roxy Grimes, Slowpoke, walrus
Sanora Emmerich, Ninetales, hornet
Lesa Walter, Seel, reindeer
Dr. Gaynell Waters, Zubat, mule
Felisha Feil DDS, Gengar, crow
Ervin Brown, Dodrio, lizard
Jule Jenkins, Ditto, dog
Elliot Cummerata, Marowak, wolf
Jeanie Conn DVM, Dodrio, monkey
Ismael Kohler, Raticate, dolphin
Roger Rempel IV, Graveler, trout
Fermin Von, Blastoise, impala
Merri Lind, Tauros, weasel
Duane Jenkins, Koffing, hyena
Berry Walter, Gloom, hare
Alene Dach, Shellder, trout
Alessandra Christiansen, Poliwag, hippopotamus
Winnie Heller, Wigglytuff, sea lion
Chantell Huels IV, Eevee, ox
Michale Gibson, Nidorino, woodchuck
Iris Mayert, Muk, koala
Sammie Padberg, Meowth, elephant
Dr. Rosendo Homenick, Vileplume, panda
Frederick Gutkowski, Articuno, mink
Fritz Flatley PhD, Charmander, moose
Jada Pfeffer, Rhyhorn, crow
Woodrow Cole, Marowak, cat
Cory Abshire, Growlithe, crab
Luis Langosh II, Persian, seal
Emmett Carter IV, Rapidash, manatee
Tilda Kerluke, Jigglypuff, panda
Sybil Corkery, Clefairy, mink
Ms. Frederic Rice, Bulbasaur, gerbil
Dominic Kuhn, Goldeen, manatee
Fanny Schumm, Kabuto, hippopotamus
Mr. Stacey Schultz, Chansey, yak
Merrill Wilkinson, Golbat, hare
Barry Ledner, Clefairy, cod
Dr. Rona Parker, Dragonite, gnu
