Ruthann Muller, Nidoran, bear
Lanette Grady, Scyther, rhinoceros
Isabella Medhurst, Ditto, salmon
Dirk Ledner, Grimer, fly
Lonnie Beahan MD, Kangaskhan, manatee
Daren Stark, Gastly, manatee
Camellia Sauer, Vileplume, minnow
Vernon Conroy, Lapras, manatee
Eda Kilback II, Slowbro, manatee
Noah Hand DDS, Machoke, hedgehog
Glynis Gutmann, Golbat, donkey
Corine Mayert, Geodude, gorilla
Joan Kassulke, Eevee, raccoon
Rodger Wehner, Paras, camel
Ms. Merna Bartell, Gastly, mole
Ashley Labadie, Seel, woodchuck
Denise Gaylord III, Hitmonlee, frog
Monnie Roob, Jynx, mole
Ms. Tanya Conroy, Doduo, gorilla
Margarita Kassulke, Flareon, otter
Stefan Grant PhD, Vaporeon, coyote
Christine Larson IV, Nidorino, snake
Jefferson Robel, Mewtwo, snake
Rosita Russel, Nidorina, porcupine
Simonne Yost, Kangaskhan, fly
Miss Brittny Glover, Lapras, mole
Mireille Toy, Pidgey, hare
Elmira Runolfsson, Machamp, ox
Juliane Yost, Staryu, cheetah
Beau Stanton Sr., Articuno, crow
Ms. Renata Jakubowski, Golbat, hare
Ms. Aretha Hickle, Pinsir, wombat
Odell Harvey, Vulpix, worm
Leanne Parisian, Pidgey, snail
Palmira Rath, Venomoth, duck
Lucy Mitchell, Marowak, squirrel
Soo Raynor, Exeggutor, cricket
Vivienne Durgan, Slowpoke, sheep
Samuel Renner, Gastly, hedgehog
Ka McDermott III, Rhyhorn, bat
Charis Walker, Raticate, cricket
Mr. Cleo Connelly, Aerodactyl, mosquito
Ms. Nestor Miller, Koffing, serval
Raleigh Marvin, Wartortle, locust
Dr. Christal Bahringer, Ditto, pug
Sammie Ferry, Marowak, pig
Broderick Lockman I, Beedrill, walrus
Nicky Walsh, Magmar, tiger
Margarita Hoppe, Arcanine, herring
Lyla Kshlerin, Magikarp, spider
