Camille Reichert DVM, Kangaskhan, koala
Dr. Hans Conroy, Gyarados, coyote
Anibal Huels, Kingler, giraffe
Cleo Adams, Krabby, lizard
Mr. Florene Sawayn, Venomoth, ferret
Ms. Tristan Lehner, Magmar, alpaca
Dr. Brandee King, Venomoth, rabbit
Leslie Rippin, Sandshrew, mammoth
Dee Jacobson, Pidgey, kangaroo
Eli Turner, Zapdos, lizard
Deshawn Davis, Fearow, bear
Judie Stamm, Omanyte, goldfish
Mrs. Tristan Bergstrom, Meowth, ox
Georgine Dietrich, Spearow, locust
Corey Kris DVM, Porygon, cockroach
Angelita Lind, Geodude, locust
Mrs. Daniel Hammes, Tentacool, ape
Andy Kuvalis, Magneton, beetle
Danial Sipes, Dewgong, tortoise
Hershel Larkin II, Blastoise, frog
Katheryn Rempel, Parasect, weasel
Henry Swift, Porygon, skunk
Pablo Krajcik, Exeggcute, spider
Charles Bogan DVM, Nidorino, eel
Mrs. Grant Beier, Abra, horse
Marcus Olson, Blastoise, beetle
Forest Will, Graveler, mammoth
Jamaal Williamson, Charmander, ape
Bernardo Tremblay, Articuno, leopard
Danika Sipes, Eevee, fish
Ervin Rippin, Chansey, mouse
Robin Koss, Raichu, manatee
Jorge Cruickshank, Cubone, chimpanzee
Rachelle Crist, Arbok, butterfly
Christine Blick, Weezing, sheep
Darnell Koelpin, Caterpie, platypus
Junita Rutherford, Machamp, horse
Galina Sanford, Venonat, hound
Christopher Jast, Kakuna, pig
Ayesha Sipes II, Oddish, coyote
Jean Mayert, Eevee, mouse
Shani Berge, Snorlax, mink
Mariano White, Mew, mole
Leandra Hettinger, Horsea, macaw
Leeanna Erdman, Rapidash, zebra
Cindi Hermiston, Golbat, kangaroo
Claretta Cartwright, Haunter, scorpion
Tyree Oberbrunner, Snorlax, hyena
Kerri Hamill, Charmander, cicada
Delores Hyatt, Weezing, eagle
