Thomasena Koss, Psyduck, hound
Suzie Block V, Exeggcute, rhinoceros
Dr. Alena Kilback, Beedrill, wildebeest
Dr. Ezequiel Schaden, Geodude, horse
Cordell Weimann, Metapod, duck
Monty Smith, Golbat, toad
Mrs. Miquel Orn, Vileplume, buffalo
Dylan Oberbrunner, Weezing, zebra
Teri Kuhlman, Voltorb, giraffe
Donnell Ratke Jr., Vileplume, marten
Adrien Abshire II, Chansey, seal
Dr. Maurice Abshire, Geodude, squirrel
Ms. Shaquana Shields, Hypno, macaw
Mr. Donnetta Christiansen, Magnemite, pig
Cami Sawayn, Poliwag, alpaca
Kristi Kuhlman, Oddish, kangaroo
Mac Rolfson, Raticate, wombat
Bradford Block, Muk, fly
Tamera Mitchell, Zapdos, zebra
Dominica Pfannerstill DVM, Paras, macaw
Sheldon Ullrich, Golbat, pig
Derrick Luettgen, Poliwhirl, crocodile
Judy Langosh, Muk, goose
Celinda Cummings Jr., Flareon, deer
Arlean Effertz, Paras, worm
Ermelinda Huels, Lickitung, fish
Garrett Douglas, Machop, dog
Marianela Fadel, Bulbasaur, hound
Mr. Sherice Hauck, Pidgeotto, squirrel
Merle Haley, Magneton, eel
Justina Mills, Mew, weasel
Marhta Kris, Snorlax, serval
Buddy Mohr, Poliwhirl, wallaby
Emmie Volkman, Charizard, coyote
Lloyd Zieme, Exeggutor, horse
Ms. Vivian O'Conner, Raichu, cod
Chuck Hills, Goldeen, wombat
Lilli Wiza, Parasect, clam
Love Hintz MD, Graveler, butterfly
Monte Wiza, Oddish, elephant
Frances Bechtelar, Nidorina, ox
June Deckow, Exeggcute, prairie dog
Leigh Herzog, Scyther, marten
Marisa Kuvalis, Nidorino, bear
Kieth Koss, Dodrio, termite
Scott Armstrong, Gloom, ant
Kandis Wolff, Beedrill, eagle
Ezra Funk, Mew, chinchilla
Rachell McCullough, Blastoise, raccoon
Santo Kreiger, Flareon, cat
