Arcelia McGlynn, Arbok, deer
Rhett Emmerich, Wigglytuff, woodchuck
Ms. Tyson Rath, Metapod, camel
Ms. Pandora Casper, Pidgeotto, buffalo
Noella Haley DDS, Hypno, sheep
Kayleen Ortiz, Kingler, ox
Cathryn Walsh Jr., Ponyta, wallaby
Elvina Jerde, Chansey, yak
Dr. Steve Schmidt, Arcanine, serval
Glady Kreiger MD, Magnemite, termite
Marty Cremin, Mr. Mime, prairie dog
Efren Smith PhD, Kabuto, mallard
Landon Dickinson, Seaking, mammoth
Genevie Gutmann, Kabuto, clam
Ranae Tromp V, Psyduck, frog
Eula Huel, Kadabra, ferret
Winford Windler, Dodrio, wildebeest
Ilene Dach, Flareon, cattle
Dortha Nikolaus, Charmeleon, dinosaur
Hosea Beier, Clefairy, raccoon
Mr. Malissa Leffler, Drowzee, mouse
Roosevelt Leannon, Bellsprout, crab
Maynard Dietrich, Mr. Mime, monkey
Kandy Bruen, Exeggutor, gorilla
Antonia Schumm V, Jynx, scorpion
Paul Koelpin, Mankey, raccoon
Young Pagac, Growlithe, platypus
Carmelina Littel, Chansey, caribou
Shawana Graham, Kabuto, snail
Taylor Runolfsson, Ponyta, alligator
Ed Johnston, Mr. Mime, tiger
Dr. Erasmo Keeling, Koffing, termite
Aurelia Glover, Pikachu, bat
Jim Reinger V, Goldeen, hippopotamus
Mrs. Ora Wolff, Golem, antelope
Katrina Kuhn, Staryu, armadillo
Preston Stark, Staryu, leopard
Albertina Nitzsche, Cubone, cat
Fritz Pollich, Pidgey, duck
Miss Chet Denesik, Bulbasaur, deer
Lois Ruecker, Kakuna, chimpanzee
Ms. Kendrick Howe, Machoke, hedgehog
Freddie Vandervort IV, Venonat, sardine
Luvenia Kutch, Venonat, frog
Kai Bergstrom, Ekans, rabbit
May Frami, Dratini, jellyfish
Cecily Stamm, Charmeleon, ferret
Hana Blick, Meowth, hippopotamus
Neal Langosh, Raichu, hornet
Esperanza Deckow, Tauros, gnat
