Hien Ernser, Dugtrio, yak
Hilton Shields, Diglett, mammoth
Ms. Spencer Barton, Cubone, jackal
Mr. Gudrun Balistreri, Magneton, termite
Ruth Bernhard Jr., Kangaskhan, louse
Devin Metz, Seadra, weasel
Kyle West, Krabby, sea lion
Jo Hoppe, Geodude, clam
Dallas Cormier II, Gengar, hare
Ty Bruen II, Kadabra, goldfish
Alayna Hagenes Jr., Blastoise, otter
Willard Cole I, Ekans, cicada
Thaddeus Gislason, Meowth, dinosaur
Dr. Dillon Padberg, Golbat, badger
Evia Harber, Vaporeon, ferret
Cynthia Osinski, Primeape, fly
Aaron Wolff, Lickitung, mosquito
Sona Heaney, Jynx, sheep
Jerry Mertz, Exeggcute, jackal
Ismael Hayes, Doduo, pug
Thomas Schaden, Dodrio, wolf
Vincent Conroy, Exeggutor, deer
Coleen Gottlieb, Flareon, badger
Mr. Kathrine MacGyver, Pidgeot, snail
Miss Hilton Barton, Haunter, ant
Trent Jenkins, Charmander, snail
Reynaldo Spencer, Kangaskhan, snail
Orval Kerluke PhD, Squirtle, jellyfish
Allegra Brekke, Zubat, marten
Angie Kemmer, Nidoqueen, chinchilla
Christa Bednar, Drowzee, cat
Dr. Daron Mills, Starmie, porpoise
Kraig Goodwin PhD, Golduck, louse
Ms. Cindy Grant, Rhyhorn, wasp
Zulma Rogahn, Golduck, deer
Vannesa Torphy I, Abra, mouse
Dr. Selma Jones, Jigglypuff, hornet
Violeta Harris, Dugtrio, hippopotamus
Shanda Wuckert, Dodrio, caribou
Rickie Farrell, Ponyta, oyster
Joshua King MD, Primeape, camel
Dr. Herschel Zemlak, Pidgeot, fox
Mirella Kirlin, Krabby, badger
Rayford Bogan, Meowth, squirrel
Miss Marco Gleichner, Lapras, toad
Deandra Hessel, Goldeen, trout
Gilberto Pouros, Charmander, mosquito
Joel Johnston, Pidgey, jackal
Colton Osinski, Dratini, wasp
Luana Dietrich, Golbat, antelope
