Mrs. Junior Hilpert, Omastar, sea lion
Eartha Haag, Tauros, grasshopper
Ona Reynolds, Hitmonlee, rat
Leisha Anderson, Weepinbell, monkey
Margherita Lakin, Drowzee, rhinoceros
Cyril Von, Kabutops, goose
Youlanda McGlynn, Charizard, woodchuck
Lachelle Miller DDS, Haunter, porpoise
Mark Pagac MD, Pikachu, mammoth
Keila Torphy DDS, Golbat, cockroach
Yvonne Corkery, Seel, trout
Rueben Feest, Magnemite, trout
Mrs. Ula Hettinger, Nidoqueen, snake
Waldo Wyman, Exeggutor, goat
Becki Armstrong, Rattata, cicada
Miss Iola Witting, Electrode, goat
Miss Ayako Prosacco, Clefable, grasshopper
Roger Ziemann, Chansey, mink
Cleo Koch, Machoke, cat
Chang Rowe, Meowth, fly
Evelyne Kessler V, Poliwhirl, spider
Cecil Labadie, Clefairy, ape
Tandra West, Dugtrio, rabbit
Rosia Johns III, Slowbro, hound
Jame Aufderhar, Charmander, dog
Renato Medhurst, Dodrio, swan
Sylvester Turcotte, Onix, hare
Maurice O'Hara, Kabutops, lizard
Jeri Ward, Vaporeon, grasshopper
Freida Gottlieb, Jynx, muskrat
Nguyet Little, Seadra, muskrat
Jacquelin Rowe, Seel, eagle
Tyrone Lueilwitz, Metapod, cat
Odell Fadel, Machop, shark
Roosevelt Douglas MD, Wartortle, crab
Mrs. Ben Funk, Growlithe, panda
Kandra Leuschke, Drowzee, wombat
Norbert Hills PhD, Nidoqueen, porcupine
Helen Hamill, Primeape, hound
Dr. Paige Kris, Porygon, beetle
Shae Corkery, Dratini, rabbit
Kimber Kub, Alakazam, cod
Miss Martin Ondricka, Kakuna, goose
Norman Tillman, Clefable, mosquito
Salley Cole, Machoke, crocodile
Yong Hessel II, Horsea, porcupine
Mrs. Portia Moore, Tentacruel, rhinoceros
Dr. Gearldine Konopelski, Muk, wallaby
Maire Bahringer, Slowbro, mosquito
Cherry Sauer, Graveler, wallaby
