Garrett Schmidt, Ditto, frog
Jon Wolff, Blastoise, swan
Denis Heathcote, Hitmonlee, coyote
Eleanora Yundt PhD, Cloyster, woodchuck
Shad Ankunding, Vulpix, snake
Danial Veum, Gastly, cockroach
Noelia Bailey, Victreebel, termite
Cameron Balistreri, Magikarp, wasp
Verline Casper, Caterpie, minnow
Nathan Vandervort, Voltorb, crab
Rickie Klocko, Seaking, hyena
Mrs. Ezra Kozey, Jigglypuff, lion
Kandis Brown V, Venusaur, tortoise
Ms. Bob Powlowski, Exeggcute, rhinoceros
Russel Lueilwitz, Charizard, fish
Lesley Bode, Moltres, beetle
Kenyatta Friesen IV, Diglett, mosquito
Kenia Feest, Tentacruel, kangaroo
Mrs. Elliott Predovic, Mew, duck
Luci Volkman, Hitmonchan, sardine
Miss Shawn Grady, Magikarp, oyster
Mr. Carylon Mraz, Lapras, tiger
Mrs. Alleen Klocko, Fearow, platypus
Brian Borer, Nidorina, camel
Kori Sipes, Nidoran, weasel
Angelo Marks III, Hypno, weasel
Mrs. Forrest Nitzsche, Mew, dog
Muriel Cartwright MD, Aerodactyl, caribou
Ben Jast, Poliwrath, wasp
Saran Kunze, Koffing, deer
Floyd Murazik, Zubat, macaw
Ms. Phillip Grady, Machamp, coyote
Tena Hickle Jr., Seel, snake
Deshawn Greenholt, Arbok, wolf
Ward Gulgowski, Golbat, elephant
Mohamed Berge, Abra, louse
Ivey Fahey, Jolteon, dog
Ms. Garth Yundt, Cloyster, dinosaur
Deandra Wilderman, Nidoking, caribou
Ms. Arden Ernser, Haunter, gnat
Dina Ebert, Seaking, chimpanzee
Towanda Rohan, Pinsir, hare
Annelle Schmitt MD, Ponyta, porcupine
Jerald Balistreri MD, Muk, leopard
Ms. Alfredo Leffler, Snorlax, toad
Man Ernser, Drowzee, chinchilla
Quintin Bechtelar III, Golduck, eagle
Shannan Denesik, Dugtrio, gerbil
Kristle Farrell DVM, Pinsir, clam
Allen Rempel, Mr. Mime, ferret
