Jeni Reynolds, Krabby, skunk
Ms. Dora Upton, Nidoqueen, scorpion
Humberto Casper, Charmander, raccoon
Ryan Walter DVM, Nidorino, kangaroo
Miss Anneliese Gusikowski, Rhydon, alligator
Kevin Beer, Squirtle, antelope
Kathi Hansen, Weezing, rhinoceros
Stevie Langosh, Butterfree, marten
Solomon Lemke, Snorlax, sea lion
Miguelina Terry Jr., Jigglypuff, pig
Jeffrey Wisozk, Porygon, dog
Miss Minh Jacobson, Meowth, cockroach
Benedict Renner, Mew, yellowjacket
Alexander Mertz Jr., Nidoqueen, ferret
Michal Abbott, Rhydon, cod
Antonio Considine, Snorlax, deer
Alysha Vandervort IV, Pinsir, skunk
Sarah Jones, Machop, hyena
Shayna Reilly, Aerodactyl, yak
Dana Nader, Tentacruel, gerbil
Gerald Nienow, Diglett, duck
Caryn Murphy Sr., Kabutops, llama
Dr. Seth Will, Chansey, fly
Penelope Waters, Farfetch'd, woodchuck
Rob Okuneva III, Pinsir, donkey
Dino Spinka IV, Magikarp, snail
Jewel Harris, Jolteon, chimpanzee
Maricela Collins, Butterfree, hound
Margarite Gislason, Zubat, weasel
Mr. Collin Beer, Ponyta, crocodile
Clint Dickens, Slowbro, cattle
Ronald Mraz, Persian, cheetah
Dr. Isaiah Rohan, Zubat, dolphin
Edison Mueller, Golem, coyote
Eugene Olson, Slowbro, deer
Stacey Marvin II, Dugtrio, fish
Miss Herman Lang, Vaporeon, coyote
Ezra Herman, Scyther, baboon
Aracely Nikolaus, Slowpoke, reindeer
Ilse Stoltenberg, Dragonite, chinchilla
Burt Stehr Sr., Nidoran, porcupine
Christene Reichert, Slowbro, alligator
Frederick Kling, Zubat, buffalo
Fidela Stokes, Zubat, locust
Minh Wisozk, Persian, oyster
Mitch Cassin IV, Nidorino, elephant
Mr. Darin Maggio, Mankey, buffalo
Lisbeth Walsh, Mew, locust
Shannon Rogahn, Magneton, crocodile
Miss Bari Schumm, Goldeen, platypus
