Candyce Hansen IV, Fearow, gerbil
Forrest McCullough, Charmander, cod
Lacy Schmeler, Mr. Mime, wombat
Wanetta Terry DDS, Kingler, manatee
Lane Blick IV, Persian, worm
Kennith Quitzon, Primeape, duck
Ouida Wehner, Hypno, swan
Agustin Thiel, Pikachu, elephant
Erwin Nolan, Venusaur, hamster
Palma Welch IV, Electrode, koala
Nigel Shanahan, Parasect, reindeer
Coleman Mueller, Weedle, beetle
Vincenza Kling, Omanyte, gerbil
Cory Okuneva, Drowzee, toad
Denny Walker, Grimer, koala
Jamie Emard, Mew, louse
Nelida McDermott, Abra, eel
Yi Labadie, Ivysaur, deer
Isaiah Fay, Machamp, termite
Marlen Keeling PhD, Porygon, goldfish
Cordia Collins, Slowbro, bear
Ms. Marvis Turner, Beedrill, lizard
Jayna Hyatt, Electrode, wombat
Bryant Cruickshank, Flareon, sheep
Delsie O'Kon, Seaking, swan
Tracie Rath, Graveler, gorilla
Robena Purdy, Porygon, tiger
Harley McClure, Growlithe, rhinoceros
Jacque Kuhn, Mewtwo, cattle
Dusty Ritchie, Machamp, skunk
Shiela Dicki I, Mewtwo, raccoon
Maribel Frami, Nidorino, alligator
Murray Franecki, Electrode, eel
Bryant Luettgen, Pidgey, wildebeest
Debby Prosacco, Moltres, hare
Zula Littel DDS, Clefable, gnat
Estelle Larson, Kadabra, tiger
Meagan Schumm PhD, Golduck, raven
Owen Halvorson, Machop, cattle
Rina Buckridge Sr., Golbat, leopard
Ophelia Balistreri, Mewtwo, wombat
Brenton Lesch Jr., Victreebel, turtle 
Adalberto Mosciski, Persian, hornet
Jorge Ondricka, Diglett, rat
Ferdinand Wisoky, Pidgey, louse
Miss Sung Upton, Kangaskhan, cockroach
Mr. Alissa VonRueden, Venomoth, turtle 
Elise Senger Sr., Tentacruel, prairie dog
Kelsi Waters, Vulpix, tiger
Chantay O'Keefe Sr., Rapidash, koala
