Theda Turcotte, Meowth, minnow
Modesto Kuhn, Goldeen, cicada
Candace Schumm, Dugtrio, buffalo
Hassan Hintz, Grimer, scorpion
Rex Cronin, Raichu, butterfly
Marcel Schroeder, Jigglypuff, badger
Neely Howell, Tentacruel, rat
Miss Winfred Gottlieb, Electabuzz, water buffalo
Everette McCullough, Pidgey, reindeer
Miss Glenn O'Conner, Victreebel, goat
Consuelo Haley, Clefairy, elk
Luisa Marvin, Alakazam, trout
Ronald Adams Jr., Marowak, chinchilla
Ricarda Gaylord, Clefable, scorpion
Shelby Considine, Pidgey, crow
Claribel Marvin, Moltres, hamster
Jayson Mueller, Poliwrath, macaw
Ms. Juliana Bradtke, Tauros, walrus
Santos Emmerich, Horsea, snake
Jack Deckow, Machoke, sardine
Inocencia Jaskolski II, Charmander, marten
Shira Casper, Ditto, wasp
Jayme Gusikowski Sr., Pidgeotto, sea lion
Terrance Leuschke, Flareon, guinea pig
Della Buckridge DDS, Mew, serval
Domingo Weissnat, Primeape, turtle 
Orval Waelchi, Lickitung, crab
Mildred Pfannerstill, Starmie, turtle 
Dr. Otis Paucek, Parasect, impala
Tomas Swift, Marowak, mallard
Franklin Marquardt, Rhydon, wallaby
Tod Schamberger, Jynx, elk
Lexie Wilderman, Pikachu, beaver
Emerson Rogahn, Exeggcute, pug
Harley Ferry, Exeggutor, rat
Mr. Chere Zulauf, Dragonite, fly
Sebastian Abshire, Nidoran, gerbil
Darrick Spinka, Golduck, snake
Dr. Grady Harvey, Koffing, mammoth
Drucilla Kohler, Scyther, fish
Hugo White, Drowzee, alpaca
Florinda Gusikowski, Charmander, badger
Tristan Bartell, Electabuzz, manatee
Linda Mraz, Koffing, armadillo
Karima Stoltenberg Jr., Gengar, eagle
Buddy Jaskolski, Fearow, impala
Casey Hauck, Hitmonchan, pug
Shirely Prosacco, Blastoise, moose
Tisa Tillman, Nidoqueen, chimpanzee
Marion Boyle Sr., Electabuzz, armadillo
