Damon Larson, Kadabra, dolphin
Dakota Bergstrom, Ivysaur, tiger
Mrs. Kennith Altenwerth, Machop, sea lion
Dee Zemlak Sr., Wigglytuff, beetle
Chauncey Ward, Farfetch'd, guinea pig
Carolynn Bernier, Machamp, moose
Lashonda Adams, Psyduck, muskrat
Desiree Keebler, Butterfree, beaver
Galina Kovacek, Magneton, ant
Malinda Kuphal, Raticate, tortoise
Nana Adams, Omastar, sheep
Ethan Heller, Blastoise, hippopotamus
Robby Waelchi, Magnemite, moose
Traci Schumm V, Nidorino, tortoise
Violet Bruen, Farfetch'd, monkey
Mrs. Brady Stark, Kakuna, walrus
Henry Cartwright, Koffing, woodchuck
Tonisha Baumbach, Dragonite, goose
Ciara Goyette V, Exeggcute, butterfly
Bridget Jast, Haunter, monkey
Marilee Waters, Rhyhorn, hare
Myron Crooks, Zubat, mosquito
Krystin Rau, Magmar, rabbit
Marsha Gislason, Flareon, elephant
Tamiko Bechtelar, Exeggcute, fox
Mckinley Windler, Snorlax, cockroach
Terrell Stehr DDS, Wartortle, cicada
Daniel Marquardt, Lapras, mouse
Mrs. Lincoln Huels, Dewgong, zebra
Paul Hayes, Nidoran, whale
Eleni Weber, Rhyhorn, fly
Miss Zofia Jacobi, Poliwrath, seal
Mrs. Erlinda Corwin, Dratini, clam
Shad O'Keefe, Raichu, raccoon
Tequila Turcotte, Jigglypuff, baboon
Darron Vandervort, Alakazam, panda
Dr. Shira Kuphal, Magmar, seal
Sheree Sauer MD, Dragonite, seal
Velma Beier, Golbat, snail
Kera Huels, Weepinbell, wombat
Terry Parisian, Electabuzz, spider
Jesenia Toy, Electabuzz, fox
Mr. Claudette Erdman, Venonat, gerbil
Edgardo Kulas, Nidorino, badger
Giselle Cartwright, Tauros, bee
Micheal Macejkovic Jr., Scyther, toad
Kanesha Block Sr., Nidoqueen, salmon
Mohamed Hudson, Hitmonlee, swan
Otelia Klein, Ninetales, raven
Tyree Pfannerstill PhD, Gengar, mammoth
