Denisse Yost, Nidoqueen, raven
Keena Sporer Sr., Chansey, sardine
Armando Yost, Kabutops, hound
Janae Kuhlman, Mankey, cricket
Sid Renner, Dodrio, caribou
Lyndon Becker, Chansey, goldfish
Woodrow VonRueden, Gastly, clam
Sharee Legros, Hitmonlee, yellowjacket
Chi Mills III, Squirtle, cheetah
Krystle Bauch IV, Electrode, grasshopper
Lynetta Wehner, Graveler, hound
Shemika Nikolaus PhD, Goldeen, leopard
Jacqulyn Romaguera, Machamp, donkey
Miss Lanny Schoen, Flareon, raccoon
Rochelle Ebert, Exeggutor, moose
Dena Mayert, Gastly, mule
Clay Schaden II, Electrode, sheep
Maranda Bernhard, Venomoth, dog
Catrice Effertz, Nidorina, deer
William Klocko, Arcanine, worm
Dr. Jon Flatley, Slowpoke, yak
Mr. Bell Heller, Graveler, dinosaur
Miss Carly Homenick, Zubat, trout
Nickolas Ruecker III, Flareon, snail
Lonny Dickinson I, Dragonite, ape
Elwood Larkin, Machamp, giraffe
Adan Konopelski, Seel, hyena
Mr. Taina Kovacek, Onix, goose
Virgil Wiegand, Mr. Mime, kangaroo
John Dicki, Wartortle, herring
Mr. Maryetta Murphy, Gloom, prairie dog
Tari Moen, Butterfree, sardine
Garret Boyer, Ponyta, squirrel
Mirella Wisozk, Vileplume, wolf
Fransisca McClure, Persian, rat
Jaimee Morar, Mankey, whale
Curt Crist, Horsea, fish
Talitha Stoltenberg, Venonat, minnow
Cassandra Murphy, Machop, jellyfish
Ray Emard, Voltorb, salmon
Ellis Crist, Persian, wolf
Dr. Donte Jones, Horsea, scorpion
Rosina Leannon, Weedle, bat
Ms. Dwight Gleason, Bulbasaur, yak
Ethelyn Walter, Onix, lizard
Lee Aufderhar, Squirtle, mallard
Deneen Connelly, Venonat, snake
Harry Hessel, Lickitung, louse
Darci Hansen, Parasect, goose
Dr. Laurette Friesen, Staryu, minnow
