Eddy Bayer, Dewgong, zebra
Tabatha Lebsack, Hitmonlee, horse
Renate Mertz, Meowth, ferret
Mrs. Cherelle Jast, Sandslash, ox
Shaunda Wehner, Meowth, deer
Tereasa Kunze, Kingler, porpoise
Miss Taylor Jacobs, Mew, seal
Bonny Deckow, Venonat, caribou
Hien Morar, Gengar, mole
Bennie Mertz, Dewgong, otter
Susanne Cronin, Haunter, armadillo
Rogelio Bins, Seel, giraffe
Ken Kirlin, Kangaskhan, guinea pig
Harry Pfannerstill, Dragonite, crab
Mikel Hilll, Dratini, eagle
Jerold Stroman, Porygon, ox
Laree Kovacek, Horsea, beaver
Major Rice, Dewgong, porcupine
Jayson Smitham, Slowbro, raccoon
Chester Turcotte, Primeape, pig
Gayle Ankunding, Poliwag, mouse
Kendrick Labadie, Oddish, camel
Miss Santiago Spinka, Zapdos, beaver
Pandora Ortiz I, Mew, wolf
Mr. Glenn Farrell, Arbok, impala
Bobby Nienow, Exeggcute, impala
Detra Collier, Tangela, muskrat
Sofia Torp DDS, Vaporeon, chimpanzee
Maribel Prosacco, Charmeleon, hippopotamus
Ms. Luigi Conn, Exeggutor, trout
Antwan Reilly, Zubat, cod
Mr. Azzie Ziemann, Cloyster, wallaby
India Hudson, Kangaskhan, raccoon
Felton Kshlerin, Ninetales, kangaroo
Mrs. Starla Okuneva, Charmeleon, butterfly
Vanda Harris, Venomoth, raccoon
Rolando Herzog, Spearow, pig
Dr. Neil Emard, Tauros, goat
Laureen Kuphal, Parasect, camel
Dr. Vena Pacocha, Exeggutor, duck
Wally Veum, Horsea, mouse
Despina Schimmel IV, Squirtle, impala
Dennis Padberg, Tentacruel, goose
Geraldo Pagac, Scyther, mammoth
Rachele Ratke III, Kingler, buffalo
Verna Senger, Ivysaur, eel
Jerome Osinski, Rapidash, hedgehog
Lonnie Powlowski, Ponyta, sheep
Dwain Treutel, Horsea, hyena
Ivan Kirlin III, Grimer, beetle
