Mr. Von McLaughlin, Ditto, salmon
Isis Ondricka, Haunter, bear
Omar Adams, Vileplume, fly
Herminia Hegmann, Pidgeotto, beaver
Clair Balistreri, Articuno, marten
Melia Klein Sr., Kabutops, leopard
Norma Smith, Squirtle, turtle 
Mr. Jessie Moore, Ninetales, mouse
Willie Rohan, Nidoran, elk
Chantell Grady, Mewtwo, alligator
Verdie Bahringer, Squirtle, leopard
Alton Huels, Kadabra, porpoise
Cassey McGlynn, Electrode, cricket
Earleen Okuneva, Wartortle, rat
Sheila McLaughlin, Koffing, snail
Alexia Hoppe, Weedle, pug
Palmira Mann, Golduck, mule
Ms. Tarsha Ledner, Ekans, porpoise
Mr. Elda Goodwin, Fearow, zebra
Zonia Conroy, Bellsprout, louse
Edgardo Russel, Growlithe, cod
Beatrice Pfannerstill Jr., Venusaur, hound
Dewey O'Conner, Lapras, monkey
Tracy Leffler, Nidoran, alligator
Shawnda Effertz, Staryu, hound
Dr. Burt McClure, Arbok, seal
Nicolas Greenholt, Sandslash, bat
Ken Gleason, Psyduck, cricket
Gerald Spinka, Slowbro, monkey
Millard Miller, Pidgeotto, rat
Lauren Hirthe, Dugtrio, impala
Manuel Quitzon, Golem, locust
Vada Cremin, Diglett, woodchuck
Senaida Kuhlman, Onix, fox
Donald Zulauf Jr., Bellsprout, macaw
Norah Swift PhD, Moltres, eagle
Leota Hansen, Shellder, giraffe
Suzanne Reichert, Venonat, cheetah
Jody Kuhn, Rhydon, reindeer
Luvenia Schumm, Weepinbell, porcupine
Jannet Kunde, Jigglypuff, termite
Frances Kunde, Dragonair, mink
Milagros McGlynn V, Rapidash, bear
Eddy Turcotte MD, Mankey, badger
Angelique Powlowski, Magmar, snake
Leroy Russel, Seel, mule
Natashia Konopelski, Krabby, pig
Usha Streich, Farfetch'd, skunk
Agueda Gottlieb, Victreebel, yellowjacket
Lucie Corwin, Snorlax, moose
