Darrin Mills V, Caterpie, trout
Nettie Gerhold, Mankey, hippopotamus
Harris Rice, Arbok, horse
Mr. Georgetta Abshire, Onix, dog
Clement Greenfelder II, Dodrio, skunk
Shamika Fadel, Electrode, panda
Leon Boyle, Seadra, manatee
Francis Wolff, Spearow, herring
Delsie Konopelski, Marowak, elephant
Mr. Chris Heidenreich, Weepinbell, rat
Eddy Bernhard I, Vaporeon, zebra
Gladis Nicolas I, Blastoise, hedgehog
Marleen Lindgren Sr., Squirtle, wildebeest
Claudine Fritsch, Scyther, cricket
Mr. Florance Hills, Hypno, rhinoceros
Tandy Purdy, Vileplume, yak
Rodrick Keebler, Drowzee, weasel
Livia Quigley, Arbok, whale
Mr. Scottie Goldner, Flareon, macaw
Lulu Sipes DDS, Horsea, clam
Orval Konopelski, Jynx, yellowjacket
Barry Price, Dodrio, giraffe
Gregg Connelly, Poliwag, scorpion
Synthia Feest Jr., Growlithe, walrus
Mendy Kautzer, Raichu, shark
Dave Turcotte PhD, Starmie, duck
Miss Anamaria Carroll, Bulbasaur, muskrat
Xiao Considine, Magnemite, dolphin
Kendal Larson, Kingler, caribou
Mr. Nathanael Upton, Ditto, fly
Latrisha Klein, Magnemite, termite
Lonny Klein, Squirtle, ferret
Sherry Mohr Sr., Beedrill, buffalo
Walter Halvorson, Magneton, spider
Joana Barrows, Staryu, mammoth
Miss Debora Tromp, Shellder, platypus
Bertram Wyman PhD, Machamp, louse
Theresia Aufderhar, Hitmonlee, porpoise
Emile Wilkinson, Venusaur, gerbil
Mr. Jillian Kling, Dratini, cat
Mr. Alvina Hamill, Charizard, buffalo
Wilmer Heaney, Nidorino, yellowjacket
Nery Jast, Staryu, herring
Cammy Witting, Koffing, turtle 
Dr. Odell Schaden, Kangaskhan, otter
Chante Feil MD, Nidorino, mammoth
Weldon Schuster, Dodrio, toad
Olin Torphy, Doduo, hedgehog
Jewell Johnston, Meowth, grasshopper
Alfredo Robel, Eevee, lizard
