Garland Gutkowski, Omanyte, ape
Hortensia Hessel, Bulbasaur, lion
Granville Ebert, Dewgong, macaw
Reagan Satterfield, Dragonair, badger
Lucien Collins, Spearow, bear
Dr. Harriet Anderson, Graveler, porcupine
Mrs. Teressa Dare, Abra, mosquito
Emelda Hegmann, Bulbasaur, llama
Mr. Vida Hayes, Exeggutor, hyena
Margarett Fadel, Rhydon, chinchilla
Jules Fahey II, Wigglytuff, llama
Keri Yundt III, Zubat, muskrat
Kellye Goodwin Sr., Arbok, fox
Brent Braun V, Mr. Mime, mule
Denver Stanton, Ditto, dinosaur
Zonia Borer, Tangela, fox
Ms. Willian Skiles, Pidgeot, raven
Bennie Hegmann DDS, Gengar, water buffalo
Kizzie Roob, Zubat, jellyfish
Eddie Schinner, Charizard, dinosaur
Terese Legros II, Ivysaur, serval
Beatriz Greenfelder, Metapod, wombat
Cedric Spinka, Charmeleon, yellowjacket
Mr. Dulcie Dietrich, Psyduck, termite
Shaquita Stokes, Rattata, whale
Christian Kohler, Kadabra, bat
Magdalena Boyer, Exeggcute, bear
Connie Carter, Dragonair, swan
Ms. Boyce Christiansen, Doduo, prairie dog
Emmett Botsford, Jolteon, hamster
Latoya Yost, Eevee, eel
Rico Jast, Golem, wasp
Ione Greenholt MD, Clefable, mammoth
Oralee Stiedemann MD, Exeggutor, grasshopper
Allegra Gerlach PhD, Lapras, donkey
Marcellus Durgan, Kabutops, squirrel
Angelica Rau II, Haunter, porcupine
Marcelo Ferry, Electabuzz, monkey
Hugh Sipes V, Dragonite, alpaca
Marissa Corwin, Weepinbell, hippopotamus
Dylan Rolfson, Lapras, sheep
Bao Moore, Tauros, locust
Murray Kuhlman, Nidorina, mink
Salvador Murray, Vileplume, toad
Neomi O'Reilly, Bellsprout, trout
Rosario Tillman, Dragonite, seal
Mr. Numbers Reynolds, Charizard, camel
Fabian Breitenberg, Kingler, armadillo
Hedy Williamson III, Dodrio, hyena
Val Langworth Sr., Rhyhorn, toad
