Ms. Pamelia Gibson, Kadabra, sardine
Hiroko Casper, Farfetch'd, yak
Crysta Gorczany, Vaporeon, serval
Gabriel Hilpert, Parasect, goose
Dr. Royal Batz, Mew, walrus
George Bogan, Poliwhirl, gnu
Jerrold Gleichner III, Charmeleon, elephant
Polly Gutmann, Golbat, ant
Sophia Barrows, Rapidash, donkey
Arnette Blanda, Vileplume, spider
Evan Grant, Oddish, manatee
Tamesha Mohr, Gloom, goat
Siobhan Lubowitz IV, Tangela, hornet
Ms. Wayne Kozey, Oddish, jackal
Shamika Goyette, Shellder, jackal
Tennie Brakus, Seel, hamster
Lisbeth Hane, Gloom, lion
Elijah Dickinson, Sandshrew, gnat
Marhta Fisher Sr., Sandslash, walrus
Adrian Hammes, Hitmonlee, rhinoceros
Hugo Schaden, Cloyster, whale
Loyce Harvey, Ekans, fly
Rhona Beer, Dugtrio, shark
Eusebio Baumbach, Chansey, wombat
Pauletta Will, Hypno, fly
Dr. Jacinda Marks, Chansey, mosquito
Kerry Upton, Clefairy, goldfish
Mariel Bradtke, Ekans, hamster
Keenan Oberbrunner, Fearow, rhinoceros
Santo Zulauf PhD, Ninetales, guinea pig
Cary Kilback MD, Arbok, elk
Jovan Langworth, Zubat, reindeer
Merle Sawayn I, Metapod, dinosaur
Mrs. Robert Krajcik, Nidoking, macaw
Miss Marquis Fahey, Butterfree, goat
Mr. Marvin Tromp, Snorlax, fish
Abraham Ward, Rhydon, goose
Brenton Sipes, Seaking, ferret
Jocelyn Beier, Electabuzz, sheep
Theressa Torp, Doduo, caribou
Charita Kshlerin DDS, Graveler, tortoise
Dr. Genevive Price, Growlithe, armadillo
Arnette Pfeffer DVM, Rhyhorn, gnu
Ronnie Franecki, Poliwrath, chimpanzee
Londa Torphy, Jolteon, cat
Mitzie Davis, Poliwrath, goat
Burt Lesch, Slowpoke, fish
Maile MacGyver PhD, Magmar, mouse
Margarito Adams, Beedrill, mouse
Coleman Mayer, Pinsir, platypus
