Elisha Lindgren, Porygon, rat
Mrs. Katlyn Prosacco, Farfetch'd, gerbil
Dannielle Schroeder DVM, Tentacool, mink
Ja Glover, Bulbasaur, weasel
Lang Armstrong, Rapidash, yellowjacket
Rory Dickens III, Hitmonchan, snake
Danilo Feil, Voltorb, gnu
Rudolph Boehm, Dragonite, minnow
Sharen Windler, Diglett, lizard
Giuseppe Hansen, Wartortle, donkey
Dr. Jake Kozey, Machamp, worm
Kena Mante, Kabutops, otter
Junko Breitenberg IV, Oddish, whale
Vilma Hickle II, Weezing, worm
Manual Schamberger, Primeape, gnat
Ross Lowe, Psyduck, pug
Miss Samuel Yost, Shellder, dolphin
Wilburn Welch, Poliwhirl, rabbit
Russ Crona, Doduo, rhinoceros
Ferdinand Schinner DDS, Bulbasaur, horse
Verdie Watsica, Rhydon, herring
Lennie Schuster, Moltres, zebra
Graig Lang, Poliwhirl, cockroach
Melvin Cummerata, Hypno, ox
Ms. Donte Gerhold, Arbok, elk
Elvia Rohan, Rattata, toad
Rolf Wolff, Machop, llama
Allan Dooley, Tauros, rhinoceros
Mr. Maxwell Luettgen, Dragonair, ox
Fausto Lesch II, Gengar, crab
Booker Waelchi, Golduck, panda
Lola Crist, Grimer, lizard
Mr. Katelynn Harvey, Magnemite, walrus
Vannesa Fay, Spearow, donkey
Edwin Lesch Jr., Drowzee, dinosaur
Mr. Damian Keeling, Mr. Mime, pug
Antonio Koepp, Clefable, cat
Dana VonRueden, Seadra, crocodile
Terry Bernier, Kakuna, locust
Conception Marks, Kadabra, raven
Despina Nolan, Vaporeon, mule
Burt McGlynn, Oddish, leopard
Sharon Reichert, Staryu, porcupine
Lorenzo Schneider III, Muk, dolphin
Fredda Trantow Jr., Lapras, gnat
Nada Murazik, Articuno, hedgehog
Hiram Hyatt, Moltres, elk
Mr. Evan Mann, Kakuna, donkey
Jeromy Abbott III, Weepinbell, snail
Nikki Strosin, Sandslash, panda
