Shira Skiles, Primeape, oyster
Elias Ratke, Charizard, cattle
Danica Stiedemann, Charmeleon, deer
Ali Schowalter, Jolteon, coyote
Inell Ankunding DVM, Abra, duck
Miss Breana Conroy, Vaporeon, eel
Keith Schowalter, Doduo, coyote
Lesa Glover, Golbat, reindeer
Edgardo Johnson, Nidorina, seal
Nigel Koch I, Lapras, raven
Curtis Kunde, Onix, mole
Elfriede Goldner Sr., Cubone, monkey
Javier Heaney, Slowpoke, leopard
Brittney Marks II, Ivysaur, snake
Jeffrey Kulas, Haunter, mole
Petronila Wintheiser, Spearow, impala
Madlyn Volkman IV, Squirtle, guinea pig
Mr. Olen Block, Seel, giraffe
Dr. Marielle Stamm, Nidoqueen, beaver
Zenaida Becker II, Kadabra, macaw
Monroe Welch, Venomoth, buffalo
Marry Gerlach, Krabby, termite
Sheri Nolan Jr., Scyther, gnu
Sterling Hudson, Kingler, wasp
Juliane Osinski, Charmeleon, goat
Brock Walter, Doduo, scorpion
Rickey Simonis III, Vileplume, lion
Pierre Price III, Clefable, goat
Lenore Bradtke, Rhydon, armadillo
Dion Feeney, Tangela, muskrat
Annabel Wyman, Pinsir, pug
Mr. Delcie Kessler, Jolteon, otter
Leeanne Padberg DVM, Squirtle, gnat
Lilli Jacobi, Tentacool, ape
Brendon Littel, Growlithe, marten
Santa Kohler, Zapdos, deer
Guy Marvin, Nidorina, salmon
Gennie Bartell, Weezing, chinchilla
Andreas Hoeger, Machoke, dinosaur
Douglass Zboncak, Electrode, muskrat
Dr. Ashlie Kuhlman, Mew, raven
Berta Crona, Articuno, ox
Teodoro Hodkiewicz, Alakazam, hippopotamus
Emilee Champlin, Jynx, salmon
Corrina Heller, Tauros, seal
Joanne Hilpert, Rhydon, frog
Preston Schinner DVM, Jynx, frog
Mrs. Micah Rohan, Vulpix, pig
Tyler Grady, Magnemite, mule
Dudley Turner, Paras, oyster
