Kenton Nicolas Jr., Wigglytuff, cod
Janine Hyatt, Wigglytuff, minnow
Elliot Volkman, Alakazam, reindeer
Dr. Deshawn Marquardt, Rhydon, coyote
Lino Fahey DVM, Nidorino, coyote
Tod Flatley, Magneton, yellowjacket
Christian Blanda, Magneton, tortoise
Miss Taylor Nicolas, Bulbasaur, mosquito
Justin Sipes, Zapdos, mammoth
Landon Schmeler, Seadra, chimpanzee
Socorro Stokes, Mewtwo, impala
Ethan Dickinson, Poliwag, caribou
Joe Haley, Zapdos, eel
Travis Schmitt, Growlithe, cockroach
Willia Lesch, Slowpoke, oyster
Juan Donnelly, Shellder, weasel
Buford Goldner III, Articuno, hornet
Garry Huel, Voltorb, buffalo
Cathern O'Reilly, Wigglytuff, donkey
Josue Dickinson, Hypno, mouse
Andrea Dickens, Hypno, moose
Miss Gregg Altenwerth, Porygon, cod
Mercedes Trantow, Exeggcute, mole
Exie Becker, Vulpix, beetle
Marcelo Hane, Vileplume, otter
Jamal Wiza, Poliwhirl, fly
Ismael Rolfson, Charizard, jellyfish
Nicholas Jacobi, Dugtrio, marten
Raymonde Kerluke Sr., Slowpoke, pig
Carlo Blick II, Kingler, sea lion
Kenton Legros, Snorlax, pug
Johnie Halvorson, Weezing, caribou
Malcolm D'Amore, Horsea, rhinoceros
Noel Welch V, Arbok, pug
Elli Glover, Tentacool, mole
Mr. Ruth Cassin, Weezing, turtle 
Terra Gerhold, Starmie, pug
Skye Stiedemann, Machamp, whale
Rosetta Schinner I, Weepinbell, worm
Darwin Purdy, Meowth, bee
Drew Bartoletti, Aerodactyl, squirrel
Lorretta McDermott DDS, Goldeen, louse
Cordell Witting V, Rapidash, hare
Rigoberto Mueller, Eevee, panda
Arlen Balistreri, Machoke, jackal
Mrs. Latarsha Okuneva, Pidgeot, lizard
Dotty Kassulke, Articuno, cockroach
Ms. Adolph Durgan, Seel, llama
John Corwin DDS, Charmander, salmon
Ed Adams, Haunter, yellowjacket
