Drew Goldner I, Alakazam, coyote
Elden Schmitt, Venusaur, woodchuck
Latoya Dickens V, Dragonite, seal
Meagan Greenfelder, Tentacruel, macaw
Seth Senger, Poliwhirl, baboon
Ms. Michal Brekke, Vulpix, toad
Junita Leannon, Slowbro, ferret
Charlena Anderson, Nidoran, wombat
Marshall Hauck, Flareon, moose
Joey Mayert III, Nidoking, mouse
Celia Haley, Charmander, coyote
Hassan Daugherty, Venusaur, sea lion
Evelyn Lehner, Ivysaur, chimpanzee
Mikel Considine, Rapidash, impala
Malissa Kunze, Fearow, hamster
Earl Christiansen, Shellder, otter
Chauncey Brown, Haunter, butterfly
Zora Kemmer, Dugtrio, crocodile
Kevin Crona, Vulpix, frog
Richie Schoen, Articuno, woodchuck
Alexis Wehner, Scyther, louse
Lucius Schinner, Arbok, tortoise
Normand Jacobson, Moltres, salmon
Blair Kassulke, Dragonair, kangaroo
Daina Stamm IV, Golbat, baboon
Richie Dach Sr., Gyarados, elk
Britany Hagenes, Koffing, panda
Sydney Rath, Scyther, goose
Dr. Fred Tremblay, Mew, wallaby
Milo Kilback, Machop, guinea pig
Lonnie Hessel, Ditto, spider
Kendrick Hudson, Spearow, leopard
Ivan Lynch, Muk, lizard
Dr. Melonie Jaskolski, Psyduck, water buffalo
Janise Hoeger, Chansey, snake
Kraig Douglas, Articuno, wildebeest
Dr. Woodrow Dare, Rapidash, wasp
Ja Kub, Staryu, leopard
Miguelina Friesen IV, Tentacruel, gerbil
Kim Gerhold, Kingler, wallaby
Isaac Hyatt I, Poliwag, sea lion
Shay Conn, Paras, hyena
Mr. Lashay Schiller, Cubone, deer
Casey Satterfield, Voltorb, ant
Crystle Steuber, Jolteon, butterfly
Cindie Ledner PhD, Lickitung, koala
Marline Lynch, Vulpix, dolphin
Douglas Rowe, Gloom, weasel
Sung Kutch, Venomoth, leopard
Micki Davis, Articuno, mouse
