Quinton Pacocha II, Farfetch'd, impala
Hobert Koelpin, Kadabra, salmon
Carlo Boehm, Jigglypuff, dog
Aurora Borer, Pidgey, sardine
Miss Joy Zemlak, Tauros, hamster
Marion Greenfelder, Marowak, camel
Dr. Kendall Waters, Tentacool, mule
Darby Goyette, Doduo, camel
Reed Runte, Diglett, mallard
Dion Hansen, Psyduck, gorilla
Ms. Shanika Lehner, Psyduck, kangaroo
Yuko McKenzie, Lickitung, donkey
Andrea Lang DVM, Raticate, cricket
Dr. Carylon Welch, Wartortle, eel
Oralia Tillman, Charizard, tiger
Venita McLaughlin, Tentacool, cod
Fredric Grimes, Caterpie, goldfish
Cathern Skiles, Snorlax, koala
Christian Powlowski Sr., Starmie, swan
Miss Everett Hartmann, Machoke, shark
Miss Jackie Collins, Kakuna, dog
Eneida Mitchell III, Horsea, otter
Dian Heaney, Gastly, pig
Becky Abshire, Persian, shark
Arvilla Williamson, Nidoqueen, leopard
Long Weber I, Wartortle, marten
Al Beahan, Vaporeon, raccoon
Mrs. Lawanna Abbott, Caterpie, ox
Robbie Hagenes, Omastar, pug
Maude Mertz, Charizard, caribou
Miss Vada Mitchell, Rhyhorn, otter
Cinda Bednar IV, Koffing, cricket
Joesph Leuschke II, Growlithe, cat
Alene Gutmann, Parasect, sea lion
Katrina Brakus, Seaking, cattle
Ms. Aileen Price, Mr. Mime, wildebeest
Blanche Schuppe, Machop, mule
Ms. Lowell Skiles, Charmander, otter
Calvin Nicolas MD, Kabuto, jellyfish
Chrissy Wisozk, Vileplume, sea lion
Shon Barton, Hitmonchan, reindeer
Rod Botsford, Gengar, porcupine
Leigh Hegmann, Horsea, gnat
Noel Crooks, Jigglypuff, grasshopper
Mr. James Willms, Hitmonchan, macaw
Andrea Stark, Parasect, gerbil
Judy Bergnaum, Muk, mink
Mrs. Fidel Gaylord, Diglett, macaw
Karl Beer, Nidorina, mallard
Layla Hintz, Slowpoke, yellowjacket
