Nohemi Aufderhar III, Hitmonchan, lion
Elwood Paucek, Squirtle, hamster
Loura Smitham I, Muk, mole
Vikki Runolfsdottir, Lapras, rat
Geoffrey Quigley, Ekans, giraffe
Teri D'Amore, Articuno, gerbil
Carlee Connelly, Electabuzz, cattle
Lavera Glover DVM, Dewgong, mammoth
Ms. Eloy Wilderman, Weedle, koala
Renay Mann Jr., Blastoise, minnow
Latrice Johnston I, Chansey, raven
Almeta Homenick, Doduo, goat
Trinh Schiller PhD, Jolteon, mink
Mr. Imogene Ruecker, Eevee, elephant
Ann Pagac, Weedle, fly
Shelton MacGyver, Hitmonchan, minnow
Miss Norberto Williamson, Rhyhorn, lion
Leonel Morissette, Wigglytuff, moose
Miss Stanford Weber, Slowpoke, snake
Weston Abernathy, Venonat, goose
Jule Gerlach, Kingler, cat
Enoch Cummings, Beedrill, woodchuck
Donn Bernier, Rattata, beaver
Mr. Erik Bradtke, Seel, gnu
Royal Goldner, Machamp, ferret
Zofia Schroeder, Cloyster, coyote
Hunter Wunsch, Dragonite, sardine
Faye Ryan, Persian, ant
Cierra Legros, Grimer, hippopotamus
Murray Hirthe, Spearow, squirrel
Shakia Witting, Fearow, goat
Romeo Howe, Tangela, porcupine
Guillermina Purdy, Tauros, wallaby
Chong Gutkowski, Wigglytuff, moose
Laurine Koelpin II, Chansey, scorpion
Shon Jones, Mewtwo, pig
Garry Corwin, Ninetales, porcupine
Shane Kiehn, Growlithe, bear
Heath Lebsack II, Nidoran, mallard
Mr. Estell Ratke, Graveler, turtle 
Iesha Hackett, Weedle, coyote
Rufus Cruickshank, Muk, armadillo
Thanh Ziemann, Charmander, hedgehog
Ms. Ilona Stamm, Machoke, termite
Roman Maggio, Zapdos, louse
Ms. Isaac Tremblay, Eevee, butterfly
Creola Kertzmann, Cloyster, prairie dog
Isobel Greenholt, Slowbro, gorilla
Yevette Collins, Scyther, frog
Shirley McKenzie, Wigglytuff, pug
