Jamie Kuhlman V, Mewtwo, beaver
Zita Swaniawski, Ponyta, wallaby
Herb Sipes, Cloyster, deer
Angel Baumbach, Persian, porcupine
Lavina Runolfsson, Arbok, alpaca
Son Bosco DVM, Voltorb, rat
Pearlene Ortiz, Cloyster, salmon
Mr. Jamar Hackett, Machamp, fish
Rhett Russel II, Machamp, squirrel
Kiley Schmidt, Sandslash, mole
Glory Lang, Nidoran, bear
Dirk Walsh, Geodude, dinosaur
Vernon Cassin, Magikarp, mallard
Albertha Hermann, Parasect, eagle
Van Goodwin, Arbok, koala
Nida Halvorson, Zapdos, cheetah
Hortensia Cole IV, Nidorino, chimpanzee
Joselyn Hahn, Staryu, caribou
Buford Feest, Nidorina, mammoth
Craig Jaskolski, Dodrio, beetle
Lavern Daniel, Kakuna, bear
Royal Smitham, Magneton, swan
Porter VonRueden, Ekans, armadillo
Kendall Willms PhD, Nidorina, wolf
Chadwick Greenholt, Tangela, cricket
Les Trantow V, Golbat, eagle
Antonietta Gorczany, Chansey, guinea pig
Tilda Hermann, Pidgeotto, deer
Shin Tremblay III, Marowak, yellowjacket
Cristie Feest, Tentacool, chinchilla
Mrs. Basil Barrows, Arbok, koala
Ms. Chong Fritsch, Machop, rabbit
Alva Greenfelder, Mankey, ferret
Sonya Morissette, Tauros, eagle
August Hyatt IV, Kabuto, bear
Mrs. Jesus Shields, Kadabra, serval
Asuncion Balistreri, Moltres, duck
Lionel Marquardt, Poliwrath, kangaroo
Keitha Daugherty, Tentacool, ferret
Jamika Koch DDS, Wigglytuff, impala
Agustin Marquardt, Chansey, donkey
Dr. Sharell Weber, Pikachu, seal
Nicola Gutmann, Dratini, toad
Anton Hand, Golduck, trout
Betsey Kozey, Fearow, bee
Burl Robel, Electrode, crocodile
Antonio Dietrich MD, Golduck, bat
Jean Quigley, Koffing, reindeer
Adelina Bashirian, Shellder, horse
Trista Ruecker, Beedrill, zebra
