Rosette West, Jigglypuff, otter
Karyn Auer, Snorlax, raven
Jocelyn Schiller, Oddish, sardine
Demetrius Cummerata, Wartortle, hornet
Mrs. Lenard Cormier, Charizard, sardine
Modesta Schiller, Krabby, otter
Ms. Nicky Wehner, Arbok, porcupine
Carmon Weber, Omastar, butterfly
Curtis King II, Weedle, deer
Garfield Cartwright, Lickitung, crocodile
Ronny Hammes V, Tentacruel, beetle
Harold Kuvalis, Arcanine, wallaby
Angela Schmitt, Nidorina, alligator
Miss Hugh Beatty, Hitmonchan, mule
Emilio Hoppe, Voltorb, toad
Sarah Greenholt Sr., Snorlax, monkey
Niesha Cassin, Dragonite, walrus
Brandon Padberg IV, Ivysaur, jackal
Adrian Fadel, Vileplume, impala
Stewart Littel, Zapdos, cattle
Emile Walsh, Mewtwo, hedgehog
Eulalia Pouros, Dodrio, ape
Dr. Adrianna Mertz, Muk, dog
Eleni Bins, Wigglytuff, swan
Kristel Kessler, Eevee, cat
Eusebio Goyette, Nidoking, alpaca
Shizuko Feest, Ditto, woodchuck
Eunice Weimann, Primeape, mouse
Kristofer Kutch DVM, Parasect, hound
Ms. Soraya Harvey, Rhyhorn, beetle
Leeanne McDermott V, Porygon, porpoise
Elmer Blanda, Pidgeot, scorpion
Elinor Tillman, Charmeleon, cattle
Ismael McLaughlin, Bulbasaur, tiger
Kendall Jaskolski I, Golbat, mink
Miss Eldridge McClure, Gloom, worm
Eva Jacobs, Paras, horse
Dr. Rosamaria Bechtelar, Chansey, giraffe
Kasey Kirlin, Hitmonlee, duck
Gail Kling, Dragonite, giraffe
Antonia Bashirian, Scyther, yellowjacket
Harold Toy, Victreebel, pug
Ozzie Schaefer, Charizard, dog
Stuart Johns, Hypno, duck
Jeneva Gislason, Hypno, shark
Gerardo Kiehn Sr., Paras, dolphin
Hien Gusikowski, Golduck, seal
Ninfa Kohler, Paras, scorpion
Verla Torphy, Mankey, crocodile
Arianna Schmitt Jr., Primeape, cricket
