Darrel Boehm, Poliwrath, beaver
Reginia Smith, Seaking, mule
Reinaldo Corwin DVM, Omastar, sardine
Grant McGlynn, Hitmonchan, buffalo
Chas Streich, Paras, minnow
Glinda Tillman, Fearow, termite
Lloyd Gislason IV, Pikachu, cheetah
Dr. Isreal Simonis, Venusaur, manatee
Mr. Concepcion Prohaska, Staryu, jellyfish
Miss Ursula Hansen, Exeggutor, cicada
Penny Kuphal, Bulbasaur, sea lion
Lillie Grant, Charmander, guinea pig
Mrs. Joannie Botsford, Omastar, goldfish
Jacob Conn, Magmar, pug
Mr. Glynis Dach, Tentacool, squirrel
Brendon Bayer Sr., Tangela, otter
Shawn Effertz, Magnemite, ape
Jeramy Bogisich DVM, Magikarp, turtle 
Aldo Ondricka, Venomoth, raccoon
Philomena Pfeffer Sr., Krabby, beaver
Ms. Cary Spinka, Vaporeon, horse
Rodger Pollich, Eevee, gnat
Willian Dickinson, Exeggcute, turtle 
Miss Loise Ankunding, Charmeleon, butterfly
Rickey Becker, Venusaur, marten
Myrta Lang, Primeape, gorilla
Eugenio Haley II, Ditto, porpoise
Jessi Bednar, Zubat, hamster
Ms. Quincy Breitenberg, Slowbro, chimpanzee
Darren Rowe DDS, Oddish, koala
Armand Hamill, Vaporeon, duck
Vince Becker DDS, Starmie, alligator
Lowell Herzog, Jynx, armadillo
Dr. Matthew Nader, Ivysaur, gorilla
Suellen Schowalter, Weedle, clam
Dr. Belkis Lesch, Poliwhirl, manatee
Libbie Haag, Poliwhirl, herring
Tommy Hackett, Mewtwo, mouse
Jefferey Huel, Vulpix, chimpanzee
Colin Hand MD, Gastly, gnu
Thanh Bogan, Mankey, lion
Lindsey Ankunding, Magnemite, platypus
Cletus Ledner, Magneton, porcupine
Allyn Kris MD, Venomoth, pug
Blair Kerluke, Sandshrew, eel
Shawnda Strosin Jr., Snorlax, marten
Miss Hyman Cassin, Scyther, buffalo
Keesha Turner, Machamp, panda
Kelly Jones Jr., Nidoqueen, porcupine
Isaac Lynch, Krabby, skunk
