Francoise Powlowski, Dragonair, swan
Stefan Funk, Lickitung, goldfish
Cliff West, Tentacruel, rhinoceros
Tomiko Cummerata, Aerodactyl, frog
Berry Baumbach, Sandslash, crocodile
Zack Huel, Muk, whale
Mr. Pandora Littel, Aerodactyl, kangaroo
Marshall Zulauf, Mr. Mime, elk
Bobbie Rice, Flareon, serval
Darrel Doyle, Haunter, elk
Lynda Wilderman, Kingler, porpoise
Nathan Schinner V, Dodrio, mink
Odette Adams, Pinsir, leopard
Nathanael Smitham, Nidoran, alpaca
Melba Boyle, Rhydon, butterfly
Mrs. Grazyna Towne, Poliwhirl, fox
Le Bayer, Venusaur, hornet
Johnny Funk, Psyduck, spider
Belle Strosin, Shellder, pig
Earnest Toy, Charizard, mouse
Fredericka Abshire, Ditto, goat
Ms. Everett McLaughlin, Nidorina, squirrel
Dr. Chet Grimes, Chansey, zebra
Carie Heaney, Ekans, eagle
Myrl Hoppe, Nidoran, cricket
Ellis Rempel, Weedle, kangaroo
Shala Lubowitz, Shellder, serval
Moises Tromp V, Dugtrio, lion
Deandre Metz, Raticate, snail
Drew Smith, Ditto, mallard
Aundrea Kerluke, Alakazam, hamster
Pearlene Huel, Pidgeot, turtle 
Rupert Simonis, Metapod, rhinoceros
Vivienne Bashirian, Mewtwo, sea lion
Donovan Stamm III, Pikachu, dolphin
Charles Olson, Fearow, sardine
Camie Pacocha, Seadra, platypus
Gilbert Little, Electabuzz, mink
Elane Dare, Weezing, horse
Hung Weimann, Moltres, rabbit
Salvador Kertzmann, Zapdos, moose
Damion Hintz, Sandshrew, cicada
Mohamed Morissette, Parasect, mule
Sheree Douglas, Wigglytuff, prairie dog
Loren Kertzmann, Arbok, grasshopper
Kraig Cartwright, Slowbro, gnat
Michale Willms, Magmar, jellyfish
Burl Gleichner, Ninetales, raccoon
Dr. Roxane Runolfsdottir, Ditto, mule
Aleta Hayes, Slowpoke, cat
