Tisa Howell III, Tauros, crab
Geraldo Casper, Hitmonchan, pug
Demetrius Mosciski MD, Poliwag, herring
Mrs. Nathaniel Legros, Cloyster, goldfish
Vincenzo Skiles, Vaporeon, badger
Major Lakin, Mr. Mime, fish
Antone Legros, Electabuzz, raven
Kent Ullrich IV, Kakuna, alligator
Granville Wuckert, Spearow, armadillo
Miss Jarrett Upton, Raticate, grasshopper
Darryl Witting, Bulbasaur, snake
Jay Sporer, Ivysaur, wildebeest
Jerald Kessler, Rhyhorn, butterfly
Inez Mann, Eevee, yak
Max Luettgen, Dragonair, cockroach
Lorine Stiedemann, Spearow, clam
Bob Schuppe, Charizard, crab
Tyrone Steuber, Muk, crab
Janetta Huel, Tentacruel, fly
Leonila Okuneva, Dugtrio, yellowjacket
Napoleon Kutch, Caterpie, beaver
Ayana Bosco, Kabutops, yellowjacket
Michiko Maggio, Hitmonlee, mink
Justin Jakubowski IV, Onix, kangaroo
Rory Brakus III, Omanyte, tiger
Caryl Spinka PhD, Jynx, bat
Tyson Gusikowski, Dodrio, jellyfish
Dr. Malcolm Ledner, Seaking, elephant
Ira Mann II, Jynx, whale
Mrs. Dannie Crona, Ivysaur, elephant
Sonia Shields, Golduck, wombat
Dr. Dianna Terry, Golbat, raven
Ms. Robena Treutel, Kadabra, trout
Cletus Lesch, Rattata, wildebeest
Deangelo Kuhlman, Muk, gorilla
Hollis Gulgowski, Exeggutor, toad
Lakeisha Corwin, Seaking, antelope
Mrs. Chauncey Beier, Dragonair, worm
Teresia Beahan, Graveler, mosquito
Len Purdy, Lickitung, hornet
Diann Rodriguez, Vulpix, kangaroo
Florentino Balistreri IV, Ekans, gorilla
Don Walker, Metapod, goat
Suzanne Hegmann, Nidoqueen, mule
Talitha Stark V, Seel, horse
Maurine Beahan, Victreebel, goldfish
Jasper Stark DDS, Geodude, fox
Lon Zemlak, Charmeleon, deer
Jennine Leannon, Electabuzz, shark
Miss Mirian Hammes, Farfetch'd, goldfish
