Mr. Dino Littel, Wigglytuff, toad
Ashely Vandervort, Sandslash, horse
Mr. Abdul Greenholt, Meowth, gnat
Alison Windler, Mewtwo, clam
Carrol Bruen, Electrode, butterfly
Miss Lindsay Halvorson, Magneton, goose
Nicol Grant, Eevee, rhinoceros
Mrs. Octavio Simonis, Clefairy, dinosaur
Antione Braun, Gengar, hippopotamus
Mireya Welch, Magikarp, bee
Mrs. Alan Botsford, Spearow, mouse
Felix Goyette, Cloyster, raccoon
Marisha Mills Jr., Primeape, hare
Mr. Howard Rohan, Vulpix, bee
Alphonse Fahey, Clefairy, oyster
Dr. Carl Satterfield, Magikarp, porpoise
Daron Howe, Sandshrew, mink
Edyth Botsford, Fearow, salmon
Sacha Ernser, Seadra, serval
Julissa Nitzsche, Scyther, rabbit
Numbers Cremin, Meowth, zebra
Holley O'Connell, Hitmonchan, goat
Ernie Fisher, Rhydon, oyster
Providencia Harvey, Magikarp, trout
Sun Walsh, Blastoise, frog
Jana Christiansen, Drowzee, louse
Hiram Lowe, Goldeen, bear
Katharyn Senger, Dratini, goat
Danyelle Walker, Kadabra, sea lion
Isreal Lynch DDS, Moltres, jellyfish
Karl Sawayn, Magneton, cockroach
Cheyenne Spinka, Rhyhorn, clam
Arlen Kunze, Hypno, giraffe
Carter Nitzsche PhD, Vaporeon, giraffe
Mr. Miyoko Koch, Kabuto, alpaca
Layla Wyman, Goldeen, otter
Ms. Antoine Kuhlman, Poliwag, wombat
Patrica Brakus I, Bellsprout, baboon
Mr. Ladonna Frami, Shellder, camel
Esteban Keebler III, Starmie, bear
Gino Blanda, Pinsir, mallard
Synthia Kerluke V, Weedle, skunk
Boris Ankunding, Machamp, mink
Vicente Hansen II, Victreebel, locust
Chae Quigley, Hypno, cricket
Mrs. Wes Haag, Gyarados, cattle
Efren Schaefer, Ivysaur, oyster
Rodney Conn, Weezing, raccoon
Richard Dare, Parasect, rabbit
Doyle Kemmer, Cloyster, salmon
