Miss Lea Keebler, Wartortle, tiger
Isaias McCullough Jr., Oddish, raccoon
Dusty Rodriguez, Horsea, manatee
Mrs. Alonso Keeling, Graveler, macaw
Tiffanie Greenfelder, Psyduck, wildebeest
Miss Autumn Weissnat, Cubone, badger
Marilu McKenzie DDS, Machamp, rabbit
Miss Brigid Gaylord, Marowak, hound
Irvin Paucek I, Farfetch'd, donkey
Kyung Turner, Sandshrew, whale
Bruno Bergnaum DDS, Tentacool, butterfly
Cheyenne Koepp Jr., Bellsprout, rabbit
Jake MacGyver I, Mew, yak
Shannon Jast, Ditto, cod
Miss Aldo Boyer, Poliwag, macaw
Charolette VonRueden, Charmander, giraffe
Mr. Sung Ankunding, Charmander, goat
Ashleigh Gibson I, Ditto, elephant
Kitty Ferry, Magneton, rhinoceros
Keven Hammes, Graveler, goat
Dr. Cythia Dibbert, Jynx, sea lion
Jake Gaylord, Tentacruel, frog
Harland MacGyver V, Muk, donkey
Miss Otto Lakin, Lapras, raven
Carmen Okuneva, Magneton, gerbil
Cornelius Kshlerin, Golem, ox
Rosaline Carroll Jr., Venusaur, spider
Elna Rau, Krabby, sheep
Terry Friesen, Weepinbell, yak
Sanford Gibson III, Dragonair, hornet
Dewitt Purdy, Rhydon, crow
Jimmy Nolan, Omastar, porpoise
Keli Kassulke, Magneton, skunk
Walker Stokes, Electrode, hyena
Angelyn Volkman III, Slowpoke, serval
Francisco Hills, Cloyster, lion
Bobby Ledner, Charizard, mule
Amie Beier MD, Vaporeon, alligator
Wallace Labadie, Electabuzz, hyena
Alfredo Reichert, Rattata, bat
Freida Heaney I, Marowak, wildebeest
Heriberto Runolfsdottir, Caterpie, dinosaur
Colin Kreiger, Snorlax, fly
Sonny Mertz, Lickitung, pug
Wilburn West V, Goldeen, tortoise
Jeana Ryan, Beedrill, turtle 
Mr. Evelyn Bartoletti, Abra, reindeer
Yan Willms, Ekans, crocodile
Bryon Veum, Nidoqueen, elk
Chauncey Homenick PhD, Omastar, prairie dog
