Leslie Wisoky, Weepinbell, platypus
Dr. Stanford Hartmann, Squirtle, louse
Ms. Cassy Heidenreich, Zapdos, sea lion
Alica Christiansen PhD, Tauros, otter
Thaddeus Heidenreich, Nidoking, herring
Ms. Anna Braun, Pidgeotto, chinchilla
Lyman Lesch, Omanyte, hamster
Mack Bashirian, Kakuna, pig
Giselle Blick II, Poliwhirl, raccoon
Stevie Murazik, Electrode, mule
Carmen Carter Sr., Muk, beetle
Perla Lindgren, Nidoran, serval
Rosetta Stroman, Exeggutor, salmon
Tamra Koelpin Sr., Nidoqueen, muskrat
Laureen Skiles, Shellder, porpoise
Tenisha MacGyver DDS, Pidgeotto, swan
Antonia Schowalter, Weezing, goldfish
Dr. Lyda Lindgren, Voltorb, bee
Miss Nichelle Labadie, Ponyta, hyena
Cortez Towne, Mankey, jellyfish
Miss Delmer Stamm, Gengar, crow
Gayle Harber, Kadabra, ferret
Nohemi Schroeder, Electrode, hare
Sonny Hane, Persian, marten
Burl Simonis Sr., Zapdos, frog
Mrs. Dannielle Nikolaus, Seaking, squirrel
Jacob Runolfsson, Kabuto, butterfly
Debi Cronin, Bellsprout, sardine
Kasha Hermiston, Magneton, jackal
Silas Hamill, Arcanine, snail
Dr. Carmelia Bradtke, Magnemite, cheetah
Claude Maggio, Arbok, wildebeest
Ms. Lupe Sipes, Golduck, coyote
Nelia Jast, Poliwrath, wolf
Mrs. Chantay Wuckert, Vulpix, otter
Scot Ziemann DDS, Kingler, jackal
Mrs. Donovan Crona, Poliwag, raccoon
Herbert Gulgowski, Spearow, yellowjacket
Roman Homenick, Kakuna, mule
Malcolm Greenholt, Graveler, rabbit
Carley Block, Poliwhirl, dinosaur
Emmy Stoltenberg, Beedrill, gnat
Bo Stiedemann, Kadabra, locust
Jeanette Gulgowski, Omastar, fox
Mr. Marc O'Reilly, Machop, sea lion
Arnold Douglas, Raichu, squirrel
Rocco Effertz, Seadra, mole
Sonny Kulas, Gyarados, ape
Frank Daugherty, Dragonite, wolf
Dr. Fermin Cronin, Gastly, yak
