Cindi Gutmann, Gyarados, raccoon
Jerrell Christiansen, Ditto, spider
Alline McCullough Sr., Omastar, grasshopper
Micah Fisher, Graveler, toad
Andree Kutch V, Bellsprout, herring
Rueben Wiza, Beedrill, bee
Curtis Parker PhD, Ivysaur, hippopotamus
Lisette Lebsack, Magmar, elephant
Evelyn Wunsch, Exeggcute, dolphin
Maryalice Carter III, Sandslash, gorilla
Mr. Clair Witting, Nidoran, tiger
Harry Gulgowski, Rapidash, walrus
Dwight Schmeler III, Vulpix, butterfly
Emmitt Weissnat, Pidgey, spider
Jordon Rogahn, Scyther, monkey
Mariella Raynor, Krabby, gnat
Merna Bruen, Magneton, minnow
Sandi Ledner, Alakazam, platypus
Tarah Murphy, Goldeen, donkey
Ms. Perry Marquardt, Gyarados, yak
Mr. Tyron Kilback, Butterfree, worm
Delmer Beier, Starmie, rabbit
Ozzie Pacocha, Cubone, mallard
Grace O'Keefe, Exeggutor, platypus
Ms. Eli Skiles, Aerodactyl, scorpion
Henry Pouros, Pidgeot, sheep
Jesse Pfannerstill, Moltres, weasel
Kaye Johns, Growlithe, eagle
Porfirio Kirlin, Beedrill, crow
Burl Dare, Golbat, badger
Bettyann Kutch Sr., Beedrill, oyster
Maximo Wisozk, Kakuna, goat
Jeanice Hammes, Parasect, cricket
Chet Becker, Squirtle, gerbil
Mr. Brittney Hickle, Ditto, sheep
Etsuko Legros, Voltorb, leopard
Hilton Labadie, Koffing, duck
Sharika Schneider, Beedrill, moose
Benedict Breitenberg, Kabutops, goldfish
Ellyn Macejkovic, Kakuna, platypus
Leticia Hartmann, Electrode, seal
Mr. Krystal Kuvalis, Zubat, grasshopper
Liza Glover, Vaporeon, rat
Tabitha Ondricka, Hitmonchan, mink
Mardell Mante MD, Dragonair, eel
Antwan Fisher, Kabutops, jackal
Chuck Mraz, Weezing, tiger
Alexander Mertz, Dragonite, serval
Brande Effertz, Spearow, louse
Vernon Ferry DDS, Haunter, butterfly
