Tommie Rice, Rhyhorn, alligator
Russell Paucek, Flareon, leopard
Kelvin Sipes, Spearow, shark
Junior Davis, Kangaskhan, caribou
Devon Hoppe, Nidoqueen, elephant
Ms. Lavern Rowe, Krabby, hamster
Dr. Jeromy Fahey, Exeggutor, dolphin
Cortney Hauck, Staryu, hyena
Archie Connelly, Wigglytuff, koala
Garry Kuhn, Pidgeotto, alpaca
Gerry Schaden V, Arcanine, wombat
Tiera Kuhlman, Growlithe, platypus
Mr. Markus Botsford, Blastoise, snail
Cameron Ruecker, Starmie, worm
Tereasa Tromp, Jigglypuff, hippopotamus
Mr. Cary Bergnaum, Sandshrew, fox
Blake Schmidt I, Exeggutor, caribou
Ms. Warner Keeling, Dragonair, dinosaur
Janee Prosacco IV, Lickitung, sea lion
Richard Frami, Abra, jackal
Taneka Satterfield, Electabuzz, hyena
Song Schaden, Omanyte, panda
Ms. Clement Roberts, Spearow, marten
Ramiro Koepp II, Pinsir, mallard
Roland Hudson, Diglett, alpaca
Noelle Lesch, Geodude, seal
Orlando Altenwerth, Shellder, reindeer
Patrica Franecki, Metapod, frog
Barton Bradtke Jr., Ivysaur, crow
Jodie Hills, Raichu, panda
Tandra Hauck, Psyduck, horse
Miss Doug Kohler, Dodrio, walrus
Monroe Schowalter, Voltorb, antelope
Evelyn Vandervort, Mr. Mime, hyena
Julio Kreiger, Ivysaur, armadillo
Piper Dickinson, Victreebel, hornet
Chauncey Hyatt, Hitmonlee, buffalo
Millie Feeney, Tentacool, baboon
Mirtha Mills, Nidoking, whale
Leroy Kuphal, Arbok, llama
Amparo Walsh, Staryu, snake
Nakita Deckow DDS, Muk, eel
My Davis, Alakazam, rhinoceros
Christin Murray, Hitmonchan, cattle
Javier Ratke, Koffing, fly
Cherri Wilderman, Kadabra, trout
Carina McKenzie, Clefairy, cheetah
Elda Wilderman DVM, Farfetch'd, beetle
Zita Herman, Wigglytuff, hornet
Serita Simonis, Spearow, porcupine
