Denyse Leuschke MD, Slowbro, elk
Dong Larson, Pidgey, elephant
Diamond Welch, Paras, butterfly
Scottie Bradtke, Magikarp, cockroach
Ellis DuBuque IV, Omanyte, muskrat
Rusty Witting, Squirtle, rhinoceros
Sun Nikolaus, Ponyta, baboon
Gene Price III, Pinsir, toad
Paula Hyatt, Vaporeon, gnu
Ms. Linwood Torp, Staryu, ox
Mr. Dolly Wehner, Raticate, lizard
Frankie Marvin, Butterfree, coyote
Ms. Treena Gaylord, Aerodactyl, dog
Mr. Mikki Stokes, Spearow, impala
Antonio Dicki PhD, Aerodactyl, mule
Danuta Satterfield III, Rhyhorn, yak
Ernesto Zulauf, Dewgong, crab
Melony Cassin II, Omastar, muskrat
Maxwell O'Connell, Ekans, cheetah
Andrea Hodkiewicz, Onix, porcupine
Cletus Ebert, Pinsir, fly
Otis Larkin IV, Marowak, leopard
Mrs. Amal Wolf, Vaporeon, monkey
Lynetta Marks, Exeggutor, snake
Rubie Rice, Exeggutor, dolphin
Kelley Hirthe, Gloom, tiger
Jefferson Marvin, Haunter, porcupine
Pricilla Howell, Zapdos, salmon
Sharen Hammes, Bulbasaur, duck
Noah Herzog, Aerodactyl, fly
Isaiah Bednar IV, Caterpie, donkey
Alexis Balistreri, Starmie, badger
Denice Beier, Vaporeon, caribou
Ralph Gerlach, Omanyte, llama
Matha McDermott V, Tangela, camel
Antone Trantow, Doduo, platypus
Mr. Jamel Davis, Nidorina, scorpion
Eduardo Runolfsdottir, Charmeleon, yak
Dean Schinner, Cubone, ferret
Latonya Parker Sr., Sandslash, pug
Vida Yundt, Mr. Mime, jackal
Kristofer Bernhard IV, Seaking, squirrel
Kandra Schaefer, Kabutops, dolphin
Elbert Kulas, Koffing, prairie dog
Georgetta Rogahn, Graveler, platypus
Allison Waters, Machamp, porpoise
Marylee Farrell, Clefairy, salmon
Mohamed Huels, Diglett, bat
Dominick Kuphal, Hitmonlee, toad
Elvis McClure, Sandshrew, mosquito
