Ronny Turcotte III, Omanyte, shark
Josiah Simonis, Golem, marten
Laticia Wiegand DDS, Lickitung, weasel
Ivan Lehner II, Rattata, gorilla
Carissa Luettgen, Porygon, hedgehog
Charity Senger, Slowbro, armadillo
Lavada O'Reilly, Omanyte, caribou
Earline Witting, Doduo, whale
Jospeh Wisoky, Muk, snail
Hedy Klocko, Wigglytuff, duck
Alexander Borer, Charmeleon, leopard
Latonya Runolfsson I, Scyther, jackal
Dominic Emmerich, Marowak, impala
Chet Paucek, Nidoran, hare
Damion Corwin, Slowpoke, scorpion
Dr. Grant Sanford, Paras, turtle 
Dr. Graig Stark, Sandshrew, gnat
Dwain Hoeger, Porygon, cockroach
Pennie Langosh, Poliwag, alligator
Fermina Wunsch, Paras, giraffe
Curt Walker, Pidgeot, hyena
Alfredo O'Conner, Blastoise, zebra
Leopoldo Kerluke, Hypno, salmon
David Cartwright, Shellder, horse
Tamie Champlin, Omastar, jackal
Gregorio Pfeffer, Machop, wolf
Ms. Barrett Huels, Sandslash, termite
Elenor Hickle, Lickitung, lion
Ms. Sherlyn Schultz, Eevee, grasshopper
Matha VonRueden, Butterfree, wolf
Margareta Reichert, Venomoth, serval
Moshe Corwin, Tentacool, wolf
Mr. Malissa Luettgen, Vulpix, worm
Aaron Cruickshank, Poliwag, manatee
Kitty Mann, Marowak, duck
Darell Price II, Magmar, turtle 
Dr. Helen Crona, Koffing, cod
Rosena Kulas, Horsea, horse
Karma Heller DDS, Clefable, deer
Willis Upton, Krabby, eagle
Wiley McDermott, Slowbro, walrus
Efren Streich, Vaporeon, oyster
Rudolph Christiansen, Poliwrath, wildebeest
Cris Dickens, Dragonair, dog
Mrs. Elayne Prohaska, Arcanine, cricket
Lan Senger, Gloom, tiger
Issac Dicki, Shellder, hamster
Dane Daniel, Dewgong, bat
Ms. Curtis Trantow, Pinsir, crow
Lucrecia Zemlak, Snorlax, impala
