Jamar Rippin, Muk, lion
Hana Predovic, Rhydon, hedgehog
Isabell Stiedemann, Poliwhirl, donkey
Many O'Keefe, Doduo, elephant
Elisa Welch Sr., Koffing, fox
Mr. Edwardo Bauch, Omastar, goat
Reda Lemke, Caterpie, koala
Ramiro Roberts, Jynx, seal
Bradford Kerluke, Pidgeotto, yellowjacket
Deja Shields, Nidoran, baboon
Mrs. Simon Hintz, Dewgong, mule
Galen Emard, Dragonair, marten
Miss Booker Schinner, Kadabra, gnat
Nanci Ondricka, Pinsir, reindeer
Mrs. Jermaine Ortiz, Gastly, crab
Mr. Maxie Beahan, Magnemite, sardine
Jamie Keebler DVM, Oddish, jackal
Lynnette Cartwright, Flareon, wildebeest
Miss Brett Tromp, Vileplume, porpoise
Bruce Murphy, Weedle, alligator
Jong Nolan, Lapras, clam
Dr. Evan Beahan, Geodude, cockroach
Thad Lind, Golbat, rhinoceros
Ted Strosin III, Pikachu, fish
Johnnie Ernser, Graveler, manatee
Ignacio Stoltenberg, Mankey, horse
Rosario O'Kon, Marowak, moose
Dr. Karole Schumm, Staryu, hornet
Magdalen Toy Sr., Kadabra, trout
Joey Torphy, Tentacruel, macaw
Shaniqua Bartell Jr., Ekans, camel
Mason Jacobs, Dratini, marten
Ms. Ike Dickens, Dodrio, pig
Viki Lakin, Rhyhorn, muskrat
Lincoln Boyle, Weedle, mole
Mr. Dane Collier, Voltorb, gnu
Douglas Lehner IV, Arcanine, pig
Hyun Konopelski, Rapidash, duck
Yuriko Kessler III, Dugtrio, woodchuck
Josue Weber, Slowbro, walrus
Penni Reilly, Kabutops, duck
Vito Mosciski, Poliwrath, butterfly
Hassan O'Hara, Persian, mouse
Mrs. Theron King, Blastoise, beaver
Althea Balistreri, Paras, sheep
Isaiah Hane, Hypno, llama
Pearly Morissette, Dratini, elk
Cassi Weissnat, Charizard, locust
Dr. Nona Torp, Slowbro, badger
Dana Kovacek, Golbat, serval
