Kesha Muller, Diglett, woodchuck
Willy Gaylord, Cloyster, ape
Emilia Pfannerstill V, Doduo, porpoise
Aundrea Ledner, Seaking, sardine
Dr. Maile Schowalter, Slowpoke, sheep
Angelo Klein, Mankey, fly
Joey Beier, Seaking, llama
Bryon Jakubowski, Electabuzz, snail
Theo Daniel, Raticate, fish
Dr. Wilford Collier, Drowzee, gorilla
Winford Prosacco, Raichu, deer
Ms. Lupita Hahn, Haunter, wildebeest
Rolland Hudson, Caterpie, jellyfish
Jesse Kemmer, Nidoran, squirrel
Osvaldo Schiller, Paras, donkey
Eli Bartoletti, Pidgeot, snake
Jeremy Stracke, Wigglytuff, zebra
Floyd Kuhn, Diglett, dolphin
Jenette Kerluke, Pidgeotto, cricket
Debby Schmidt, Venonat, llama
Aurea Towne Sr., Kingler, platypus
Miss Mark McDermott, Mew, butterfly
Domenic Stanton, Porygon, beaver
Shayne Ziemann, Gengar, elk
Buford Howell V, Clefairy, water buffalo
Mrs. Marlys Haley, Magnemite, caribou
Dortha Bartell Jr., Jolteon, ant
Ms. Ronnie Gleason, Pinsir, caribou
Marhta Padberg, Pinsir, termite
Mr. Abe Stehr, Electabuzz, trout
Colby Wehner, Kangaskhan, hedgehog
Wilfred Altenwerth I, Golduck, cod
Miss Jalisa Koch, Dodrio, reindeer
Charlie Cartwright, Rattata, ape
Dr. Sebastian Sporer, Venonat, beaver
Jamey Hahn, Lickitung, wallaby
Mrs. Angel Simonis, Kabuto, scorpion
Renata Conn Sr., Kingler, cockroach
Arden Botsford, Exeggcute, impala
Stefan Ebert, Tangela, baboon
Stephenie Hickle DDS, Drowzee, muskrat
Clarence Turner, Krabby, pig
Norberto Gulgowski, Dewgong, raccoon
Delmar Legros DVM, Persian, cod
Garrett Halvorson, Tangela, moose
Louis Deckow, Magnemite, goat
Kyle Schamberger, Growlithe, gerbil
Miguel Beer MD, Kangaskhan, alligator
Mickey Bartell, Metapod, guinea pig
Walker Donnelly, Dugtrio, dolphin
