Ms. Miquel Rath, Magmar, hippopotamus
Florence Kautzer DDS, Graveler, wallaby
Chance Torphy, Paras, sheep
Ms. Johana Weimann, Metapod, reindeer
Miss Amira Glover, Clefable, crab
Traci Streich III, Growlithe, oyster
Ms. Kayce Langworth, Ninetales, dog
Gilberto Fahey, Kakuna, lion
Ms. Jodee Hermiston, Gengar, spider
Miss Treasa Bernhard, Vaporeon, lion
Ms. Elden Torphy, Dugtrio, hare
Ms. Kelli Dare, Pikachu, hound
Johnathan Simonis MD, Golem, cattle
Devon Cartwright, Wigglytuff, cattle
Ms. Hee Dickinson, Golduck, kangaroo
Miss Kayleigh Mann, Pidgey, hornet
Brice Lueilwitz, Kadabra, deer
Taylor Adams MD, Staryu, chinchilla
Madelene Cormier, Rhyhorn, lion
Raymond Dare DVM, Pidgeotto, guinea pig
Bertie Stehr, Machamp, louse
Elwanda Bogan, Clefable, lizard
Kory Price, Spearow, goat
Lillia Bayer, Raichu, dinosaur
Miss Georgine Harvey, Pidgeot, frog
Kathy Ledner I, Gloom, eagle
Heidi Gutkowski, Haunter, fish
Dr. Marylouise Metz, Dodrio, platypus
Abel Crooks, Jynx, cod
Fredricka Lemke, Persian, frog
Myron Weber, Doduo, lion
Mohammad Willms, Ivysaur, cicada
Miss Shiloh Kessler, Dratini, pug
Paris Lakin V, Geodude, jackal
Zoila Effertz, Kakuna, antelope
Mrs. Porter Kunde, Poliwag, frog
Dirk Reilly, Rapidash, alpaca
Susy Jones, Tentacool, bee
Velvet Pagac, Goldeen, leopard
Donovan Harris DVM, Wigglytuff, duck
Eduardo Turner, Nidoran, cockroach
Eldora Hudson, Porygon, macaw
Brigitte Orn, Pinsir, spider
Ms. Florance Hyatt, Kingler, wolf
Ms. Isiah Parisian, Mankey, sardine
Janeth Hammes, Articuno, duck
Reynalda Labadie, Poliwhirl, coyote
Mr. Jerlene Ankunding, Ekans, otter
Corey Tremblay, Primeape, impala
Otto Boyer I, Zubat, squirrel
