Joey Jast, Beedrill, horse
Rosia Simonis, Magnemite, jellyfish
Christene Kuvalis, Flareon, grasshopper
Nannie Carter, Dragonite, lizard
Glenn Schmidt, Oddish, cockroach
Derek Pfeffer, Drowzee, herring
Dirk Heathcote, Chansey, elephant
Ollie Kemmer, Charizard, whale
Whitney Beier, Zubat, hamster
Dagmar Windler, Marowak, porpoise
Dina Goyette, Caterpie, pig
Mr. Maddie Morissette, Venonat, hare
Mrs. Rudolph Pollich, Diglett, jellyfish
Ms. Kanisha Lindgren, Ekans, alligator
Allan Cartwright, Hitmonlee, elephant
Bree Wilderman DVM, Golem, goldfish
Bryon Olson, Primeape, antelope
Paul Gerhold MD, Omastar, reindeer
Kasha Miller, Golduck, eel
Nathalie Barrows, Poliwhirl, fish
Jenae Runolfsdottir, Articuno, goose
Ms. Philomena Mante, Wigglytuff, dinosaur
Mr. Dorethea Kling, Oddish, horse
Maryetta Romaguera, Rhyhorn, squirrel
Raguel McCullough, Ivysaur, hippopotamus
Nova Cummerata, Magmar, oyster
Willard Cole, Goldeen, eagle
Billy Collier, Wigglytuff, walrus
Harlan Heathcote, Haunter, raven
Dr. Buford Kris, Beedrill, jellyfish
Idell Reilly, Abra, cricket
Caitlyn Hamill, Pikachu, macaw
Marcelino Will, Poliwhirl, antelope
Mr. Charles Terry, Grimer, prairie dog
Gregoria Von, Ninetales, dog
Eldon Becker Sr., Persian, kangaroo
Florentino Bailey, Snorlax, hippopotamus
Angelyn Dibbert, Tentacool, cricket
Jadwiga Fadel, Venonat, mammoth
Aiko O'Connell Jr., Gloom, caribou
Dr. Deangelo Flatley, Mew, wallaby
Carmen Hessel, Arcanine, badger
Aldo Carter Sr., Slowpoke, fox
Cayla Torphy, Chansey, giraffe
Colby Howe, Magikarp, mosquito
Nanette Durgan, Graveler, cattle
Jammie Dooley, Caterpie, wolf
Frederic Kulas MD, Aerodactyl, wildebeest
Hector Stiedemann, Voltorb, beaver
Tad Bartoletti, Charizard, hare
