Kayleigh Littel, Exeggcute, monkey
Chong Jacobson, Spearow, cat
Arnoldo Gibson, Rapidash, butterfly
Ana Kirlin I, Butterfree, otter
Luther Boyer, Scyther, wasp
Reid Hayes, Nidoran, otter
Mrs. Lucie Runte, Sandshrew, porpoise
Candace Glover, Mankey, manatee
Doug Mohr, Mew, lion
Roxana Auer, Weedle, koala
Wm Lindgren, Tentacool, gnat
Edda Jerde, Onix, snake
Nicole O'Keefe, Golduck, hound
Rachell Balistreri, Moltres, dinosaur
Conrad Gutkowski, Gyarados, impala
Lemuel Jaskolski MD, Graveler, rhinoceros
Ernesto Swift, Primeape, cod
Daniela Schimmel Jr., Lapras, hyena
Mr. Tonette Harber, Mr. Mime, spider
Ula O'Conner, Grimer, moose
Gaylord Gutmann, Rapidash, scorpion
Karlene Ward, Voltorb, snake
Walker Boyer, Gastly, porpoise
Mr. Maryetta Murazik, Geodude, manatee
Mrs. Isis Maggio, Victreebel, monkey
Kermit Douglas, Exeggutor, wolf
Geraldine Legros, Seel, sheep
Orville Kub, Doduo, monkey
Kraig Reichel IV, Electrode, elephant
Jacquelyne Senger, Oddish, clam
Collin Maggio, Pinsir, skunk
Mrs. Mitchel Abshire, Cubone, guinea pig
Damien Wolf, Mew, scorpion
Ms. Shoshana Schultz, Ekans, yellowjacket
Haley Adams, Dragonair, rat
Mrs. Sterling O'Connell, Kabutops, panda
Emelda Zieme, Ninetales, snake
Krissy Kautzer, Meowth, reindeer
Theo Hettinger, Jynx, snake
Ms. Teena Kilback, Goldeen, zebra
Robena Padberg, Jynx, butterfly
Isaura Denesik, Venusaur, koala
Kristopher Weimann III, Moltres, jackal
Tanesha Howell, Nidoran, oyster
Amos Koss, Cloyster, reindeer
Angelia Becker, Farfetch'd, llama
Miss Shu Kunde, Chansey, crocodile
Chang Murphy, Poliwhirl, trout
Allen Lebsack, Abra, oyster
Waylon Roob, Voltorb, tortoise
