Freeman Casper, Metapod, fish
John Moen DVM, Slowbro, buffalo
Blair Koss, Tauros, cheetah
Berenice McClure, Ivysaur, wildebeest
Burl Pollich, Bulbasaur, otter
Burl Jerde, Ditto, ferret
Reagan Hane, Seel, hare
Dr. Valentin Beier, Exeggcute, salmon
Donetta O'Hara III, Voltorb, toad
Jestine Kirlin, Charmander, raven
Mr. Leonor Huels, Sandslash, tiger
Williams Quitzon, Hypno, jellyfish
Mr. Napoleon Cummings, Doduo, horse
Boyce Bruen V, Rapidash, lizard
Leida Barrows, Meowth, guinea pig
Regine Williamson, Bulbasaur, panda
Sammie Cole, Nidoran, bear
Davis Kessler, Farfetch'd, wallaby
Marcus Veum IV, Gastly, guinea pig
Melita McGlynn DDS, Persian, cicada
Felix Mueller, Voltorb, whale
Albert Labadie, Golem, frog
Brady Beer, Dratini, reindeer
Shayne Zulauf MD, Staryu, cicada
Tommye Wintheiser, Charizard, cockroach
Thomas Volkman, Kabutops, sheep
Rex Rau, Poliwrath, locust
Ingeborg Quigley, Slowpoke, hare
Ross Koch PhD, Arcanine, sea lion
Madalene Pfannerstill, Slowbro, gnu
Mickey Ratke Sr., Machoke, llama
Ronny Powlowski, Sandslash, porpoise
Mr. Concetta Kris, Farfetch'd, worm
Mrs. Hui Jacobs, Electabuzz, pug
Lyndsay Ondricka, Seaking, rabbit
Delaine Langosh, Fearow, skunk
Arnold Beatty, Venomoth, mallard
Johnie Lehner, Charmander, jellyfish
Carey Crooks, Growlithe, pug
Mrs. Glayds Steuber, Hypno, otter
Warner Spencer, Dragonite, armadillo
Denny McCullough, Geodude, leopard
Kim Legros, Scyther, dolphin
Shara Conroy MD, Bulbasaur, seal
Miss Bernarda Hegmann, Machop, prairie dog
Louis Mueller, Krabby, wallaby
Elmo Lebsack, Gastly, porpoise
Julian Lowe IV, Raichu, toad
Beckie Muller, Dewgong, chimpanzee
Cole Lowe, Metapod, cod
