Miss Gisela D'Amore, Dodrio, ferret
Bridgett Grant, Exeggcute, donkey
Mrs. Temika Haag, Zapdos, louse
Mr. Corey Hayes, Pidgey, buffalo
Billy Jacobs, Magmar, cricket
Robert Sauer, Tentacruel, trout
Emery Kutch, Nidorino, worm
Beulah Watsica I, Mankey, impala
Rick Ritchie, Ekans, mink
Elouise Smitham PhD, Tentacruel, jackal
Priscilla Wuckert, Exeggcute, coyote
Simon Johnson, Charmeleon, leopard
Billi Durgan, Pinsir, beetle
Zina Monahan I, Horsea, leopard
Clifford Tromp IV, Poliwrath, mammoth
Geoffrey Murazik, Geodude, trout
Cedric Champlin, Fearow, pig
Dominic Ritchie, Tentacruel, bear
Enedina Little MD, Snorlax, porcupine
Patricia Feil, Sandslash, minnow
Dexter Nolan, Slowpoke, panda
Raye Wuckert Jr., Machop, zebra
Evita Grimes Jr., Dragonair, termite
Bryon Gerhold, Articuno, hound
Daysi Rice, Arbok, camel
Miss Dan Towne, Dratini, crow
Christoper Cremin, Staryu, mammoth
Kareem Jacobs I, Golbat, prairie dog
Houston Carter, Ditto, chinchilla
Gidget Gislason, Gengar, pig
Rene Nolan DDS, Kingler, worm
Dong Dooley, Geodude, trout
Anthony Parisian, Jynx, gnat
Donte McClure, Charizard, cheetah
Gil Sporer, Gastly, leopard
Kati Collins, Dragonite, dinosaur
Robbie Schultz, Golduck, salmon
Dorotha Ondricka, Seadra, wasp
Cecil Huel V, Hypno, ox
Allyn Leannon, Beedrill, alpaca
Rashida Mayer, Magneton, coyote
Caleb Toy, Scyther, clam
Ina Parisian I, Mewtwo, jackal
Trey Crist, Paras, serval
Reggie Shanahan, Growlithe, skunk
Sergio O'Hara, Flareon, sardine
Roni Hauck, Koffing, pig
Leonard Haag, Tangela, porcupine
Asley Larkin Jr., Mr. Mime, llama
Mr. Lexie Reichel, Slowbro, fox
