Todd Lueilwitz, Shellder, eagle
Francesca Schuster, Vileplume, caribou
Buddy Rath, Zapdos, muskrat
Katelyn Rau, Geodude, moose
Miss Olimpia Towne, Gengar, sea lion
Lincoln Haley, Magmar, cheetah
Graig Hickle, Jigglypuff, manatee
Ellan Wintheiser, Ninetales, mole
Lynna Carter, Gloom, hound
Freddy Beier, Blastoise, sheep
Ann Stokes, Graveler, impala
Mrs. Denice Cassin, Dragonair, koala
Latasha Runolfsson, Marowak, hamster
Sunni Denesik, Snorlax, lizard
Oralia Langosh, Horsea, reindeer
Bert Volkman, Spearow, leopard
Alexia O'Connell, Muk, mammoth
Ms. Kathi Grimes, Jolteon, goldfish
Bettie Jerde Sr., Articuno, dinosaur
Don Medhurst, Pinsir, antelope
Ayesha Heaney, Bellsprout, bee
Tim Jenkins IV, Venusaur, squirrel
Gabrielle Stiedemann, Machop, skunk
Jamal McDermott, Clefairy, bat
Jeannie Collier DDS, Jynx, macaw
Paola Tillman, Kingler, fish
Caroll Legros, Poliwhirl, mink
Miss Jewell Kunde, Poliwag, hyena
Dwain Sauer, Caterpie, horse
Stanford Hyatt, Exeggcute, fly
Ms. Patricia Jenkins, Snorlax, jackal
Christena Watsica, Magmar, armadillo
Elwood Gerlach, Pidgey, mouse
Donya Bashirian, Gloom, marten
Ms. Tish Christiansen, Hitmonlee, serval
Gayle Jaskolski, Venonat, goldfish
Malcom Purdy, Kabuto, camel
Tania Doyle, Psyduck, porpoise
Shannon Lakin, Electrode, giraffe
Aleshia VonRueden Jr., Exeggcute, gnu
Crystal Jast PhD, Nidoqueen, hippopotamus
Tamara Koepp, Arbok, horse
Risa Heaney, Shellder, hare
Collin Hickle, Sandshrew, hornet
Johnie Kuhn, Doduo, cattle
Deon Schoen, Gloom, sardine
Parker Barrows, Rhyhorn, wallaby
Drew Feest, Charmeleon, rat
Kassandra Bins, Seaking, water buffalo
Miss Francesca Grimes, Geodude, crocodile
