Kirstie Jacobson, Spearow, termite
Ruthanne DuBuque, Bellsprout, fox
Serena Mills, Zapdos, cricket
Gemma Turcotte, Kabuto, mouse
Mr. Clemente Schinner, Paras, yak
Miss Corinna Ankunding, Vileplume, gnu
Ms. Heike Larson, Kangaskhan, sea lion
Anitra Koss MD, Nidoqueen, ant
Chas Lebsack DDS, Electabuzz, cheetah
Fabian Raynor, Magmar, cat
Shara Rice, Wigglytuff, alligator
Bryan Windler, Rhyhorn, eagle
Delta White, Poliwag, koala
Rhoda Medhurst, Seadra, raven
Devin Beer, Paras, baboon
Tonie Jast, Flareon, butterfly
Adele Dietrich, Slowpoke, gnu
Violeta Keeling, Poliwrath, frog
Adell Schuppe, Jynx, hound
Deloris Boyer PhD, Growlithe, wildebeest
Mrs. Rafael Williamson, Haunter, spider
Anton Reichert, Rhydon, badger
Buster Wiegand III, Cloyster, hare
Edwardo Keeling III, Machoke, fox
Caren Schultz, Gloom, moose
Dorla Cartwright, Gloom, fly
Spencer Block, Slowbro, butterfly
Donita Douglas, Ninetales, swan
Edgar McGlynn, Slowpoke, whale
Elmira Klein, Staryu, wolf
Grisel Sipes II, Ivysaur, grasshopper
Nickolas Boyer, Fearow, cod
Hai Beahan, Pidgeotto, prairie dog
Kasey Gulgowski, Ekans, tiger
Maple Jacobs, Zapdos, raven
Buck Hegmann, Parasect, salmon
Brendan Satterfield, Diglett, rat
Tessie Dietrich, Jynx, eel
Calvin Cartwright, Vulpix, porpoise
Arcelia Towne IV, Persian, oyster
Ms. Anna Gorczany, Tentacool, duck
Evita Towne, Spearow, horse
Thersa Gorczany, Clefable, herring
Tomiko Bailey, Omanyte, fox
Cordia Balistreri, Ninetales, walrus
Blake Lubowitz, Drowzee, armadillo
Larry Wuckert PhD, Rattata, weasel
Mrs. Elina Pfeffer, Pikachu, cheetah
Cherry Miller, Horsea, pug
Alfonzo Reichel, Weezing, jellyfish
