Eloisa Bode, Sandslash, serval
Mr. Arnetta Witting, Nidoking, gnat
Jamel O'Keefe PhD, Weepinbell, gnat
Charlie Dickens, Metapod, bee
Waylon Stroman, Snorlax, raccoon
Domingo Jacobi, Mew, moose
Quinton Ratke, Scyther, kangaroo
Katherine Kohler, Kabutops, rat
Kelly O'Conner V, Krabby, frog
Herb Greenholt, Dugtrio, gnu
Hugo Casper, Ninetales, grasshopper
Syreeta Metz I, Parasect, chinchilla
Brice Homenick, Venomoth, lion
Reena Gerlach, Charizard, eel
Galen Roberts PhD, Voltorb, wildebeest
Carey Cronin Jr., Dewgong, turtle 
Miss Ying Breitenberg, Kabutops, donkey
Roman Casper PhD, Raichu, hamster
Duncan Abernathy, Parasect, hyena
Jewel Heller, Ekans, trout
Ms. Shandra Hills, Nidoran, ferret
Brendon Klocko, Ekans, mallard
Joie Spinka, Clefairy, camel
Miss Joellen Olson, Magmar, platypus
Kina Murray PhD, Ditto, ferret
Mrs. Jamal Sauer, Mew, moose
Shila Homenick, Alakazam, elk
Lou Tromp, Staryu, hedgehog
Rocky Corkery, Omastar, lion
Soon Wyman MD, Rapidash, minnow
Leanora Armstrong, Poliwag, horse
Carlton Lemke Jr., Raichu, snake
Concetta Farrell, Omanyte, monkey
Emil Conroy, Ivysaur, shark
Lewis Boyer, Growlithe, dolphin
Charmaine Feest, Ekans, fly
Michel Thiel, Vaporeon, bear
Lettie Ratke, Primeape, monkey
Isaac Veum, Abra, bear
Pricilla Cole, Ivysaur, cat
Dr. Desmond Stiedemann, Weedle, chinchilla
Mr. Danial Bogan, Arcanine, donkey
Stewart Will, Eevee, goldfish
Miss Mariano Flatley, Charmeleon, crow
Elvin Parker, Growlithe, donkey
Darlena Rippin, Arbok, ape
Korey Greenholt, Staryu, horse
Jacqui Rutherford I, Charizard, squirrel
Billy Kilback, Zapdos, llama
Williams Osinski, Poliwag, prairie dog
