Jeff Strosin, Kangaskhan, cat
Robt Kihn, Victreebel, elephant
Quincy Pollich, Tauros, wolf
Charlena Ferry, Blastoise, duck
Grover Runte PhD, Omanyte, worm
Adolfo Stamm, Gastly, chimpanzee
Williams Dicki, Jolteon, gorilla
Lakendra Kulas, Caterpie, beetle
Ralph Legros, Nidoran, porcupine
Chong Parisian, Rhyhorn, fly
Lorenzo Green, Zapdos, trout
Mrs. January Haag, Psyduck, hippopotamus
Matilda Aufderhar, Dewgong, swan
Eliz Zemlak, Psyduck, reindeer
Glenda Stanton DVM, Electrode, grasshopper
Elvin Vandervort, Seaking, beaver
Delphine Homenick, Goldeen, ferret
Edmund Stamm, Articuno, eel
Miss Dominique Dooley, Omanyte, lion
Bruno Skiles, Growlithe, snake
Raylene Brakus, Electrode, fly
Arlette Howell, Weezing, whale
Miss Clarence Schimmel, Pidgey, skunk
Monica Schmeler I, Ekans, beetle
Dwain Batz, Nidorina, platypus
Kyra Purdy III, Electrode, tiger
Lonny Hammes, Cubone, beaver
Morris Casper, Raticate, cattle
Elizabeth Gerlach, Dratini, cheetah
Wilburn Weimann, Spearow, hyena
Dr. Barrett Christiansen, Aerodactyl, cockroach
Mr. Amira Greenfelder, Parasect, antelope
Deshawn Zemlak, Pikachu, mammoth
Ami Kuphal, Abra, porcupine
Mr. Shanti Reinger, Golbat, weasel
Chantay Ratke, Persian, bear
Agustina Armstrong, Kadabra, frog
Mr. Ali Powlowski, Weedle, walrus
Angelika Shanahan, Fearow, moose
Ted Kihn, Dragonair, butterfly
Un D'Amore, Krabby, herring
Mrs. Juliane Hand, Primeape, antelope
Kristin Hirthe, Nidoran, koala
Georgeann Legros, Tauros, camel
Val Harber, Tauros, wolf
Austin Reichert, Meowth, mosquito
Duane Johnson DVM, Cubone, elephant
Simonne Rohan, Moltres, crow
Rosemary Roob, Meowth, gnat
Dr. Brittany Jakubowski, Paras, baboon
