Gerald Schaefer, Snorlax, sheep
Ashanti White, Zubat, oyster
Mrs. Osvaldo Marquardt, Psyduck, raven
Malorie Hauck, Tentacool, dolphin
Toby Hintz, Slowbro, elk
May Macejkovic, Poliwag, dinosaur
Marquis Kutch, Bellsprout, beaver
Hunter Casper, Ekans, salmon
Miss Stephnie Gutkowski, Starmie, panda
Randy Emard, Doduo, frog
Dr. Theron Schoen, Golbat, macaw
Chi Effertz, Starmie, baboon
Dr. Meagan Lindgren, Jynx, herring
Fritz Marquardt, Hypno, toad
Porfirio McDermott PhD, Aerodactyl, seal
Zita Boehm, Mew, sea lion
Ariana Sauer, Growlithe, woodchuck
Andre Kub, Magneton, elk
Rolf Lakin, Omastar, muskrat
Louie Rempel, Dodrio, hare
Dr. Roman Kuhic, Starmie, hippopotamus
Renato Cronin, Muk, snake
Linette Bernier V, Gengar, termite
Tameka Collins, Pidgeotto, whale
Rodrick Denesik, Sandslash, antelope
Jonathon Mertz, Rattata, walrus
Merrill Von, Chansey, wombat
Marielle Zieme, Omastar, eagle
Trent Abbott, Tangela, llama
Lonny Murphy, Dratini, otter
Quintin Crooks, Dratini, rhinoceros
Corey Moore V, Kingler, minnow
Jean Murray IV, Electrode, hedgehog
Tyler Heidenreich, Magmar, raccoon
Fabian Erdman, Alakazam, fly
Dillon Romaguera, Sandslash, rhinoceros
Ernie Nader V, Aerodactyl, gnu
Earl Steuber DVM, Krabby, alpaca
Evita Wolff, Blastoise, dinosaur
Miss Del Luettgen, Nidorina, manatee
Douglas Wolff, Porygon, buffalo
Gonzalo Kilback, Spearow, wildebeest
Meghann Crooks, Slowpoke, sea lion
Cary Bradtke V, Beedrill, mule
Stephnie Barton, Seadra, deer
Clarisa Rath, Sandslash, minnow
Mike Bode, Zubat, weasel
Elvis Hirthe MD, Seel, bear
Lavonia Leffler, Vileplume, spider
Russell Waelchi, Onix, hare
