Miss Larry Quigley, Tentacruel, raven
Jefferey Simonis, Arbok, lizard
Ismael Beer, Starmie, wasp
Solange Weimann, Slowbro, cattle
Fannie Lubowitz, Vaporeon, cat
Catina Kuhlman, Poliwhirl, crow
Dr. Evalyn Lindgren, Tauros, bat
Bobby Runte, Gyarados, butterfly
Scotty Lehner Jr., Gastly, turtle 
Kris Torp, Wartortle, cat
Timmy Runte, Magneton, goose
Miss Rich Welch, Bellsprout, hippopotamus
Nicki Willms, Meowth, elephant
Kelly Fritsch, Dragonair, prairie dog
Eusebio Graham Jr., Machoke, platypus
Ms. Isela Roob, Bellsprout, hippopotamus
Mr. Kandis Armstrong, Onix, horse
Karena Hettinger, Shellder, ant
Refugio Kemmer, Wartortle, gnat
Angelo Kertzmann, Ninetales, crocodile
Vicky Mills, Vileplume, ox
Miss Lisbeth Ankunding, Alakazam, trout
Lloyd VonRueden, Zapdos, chinchilla
Miss Ciera Trantow, Venonat, panda
Malcolm Schowalter, Magnemite, rat
Jaunita Bartell, Dugtrio, whale
Ossie DuBuque, Caterpie, cod
Elisa Wunsch, Oddish, alligator
Mr. Cyrus Gaylord, Staryu, bee
Johnie Corwin, Kadabra, jellyfish
Efren Turner, Dugtrio, yak
Dwana Towne, Snorlax, mole
Mohamed Harvey, Bellsprout, elephant
Charlesetta Schuppe Sr., Hypno, yellowjacket
Nick Schmeler, Nidoran, mole
Mr. Jolynn Klocko, Geodude, bee
Dr. Ora Koepp, Golduck, walrus
Meta Cassin, Mankey, macaw
Erik Fay, Charmeleon, yak
Roy Dare, Zubat, gorilla
Lanelle Fadel, Shellder, duck
Timothy Zemlak, Wigglytuff, crow
Denny Paucek, Staryu, dolphin
Miss Tamika Wolff, Jolteon, deer
Kristal Cartwright, Ivysaur, otter
Keshia Wehner DDS, Sandshrew, termite
Ms. Lawanna Wehner, Golbat, coyote
Zachery Schmeler, Geodude, fish
Mervin Bauch, Lapras, gerbil
Jody Huels, Golbat, sheep
