Dr. Jayne Grimes, Kangaskhan, goat
Buford O'Conner, Koffing, elephant
Clarissa Grimes, Moltres, grasshopper
Felicitas Hudson, Pinsir, armadillo
Zackary Boyle, Ekans, clam
Craig O'Hara, Zubat, bat
Blake Mertz V, Weezing, louse
Darrick Keebler, Pidgeotto, grasshopper
Nikia Daugherty Sr., Arbok, donkey
Mrs. Jerald Luettgen, Ekans, alpaca
Delbert Lind, Slowpoke, jackal
Miss Armando Hilll, Rapidash, mammoth
Carleen Gleichner PhD, Seel, spider
Brendan Gaylord, Tauros, coyote
Cecily Donnelly, Charmander, gorilla
Edmond Donnelly, Scyther, rat
Cletus Lind Sr., Cloyster, louse
Diamond Stoltenberg, Cubone, walrus
Desmond Jast, Voltorb, manatee
Martha Boyle IV, Poliwag, rat
Selene Greenholt, Cloyster, hyena
Miss Keiko Steuber, Mr. Mime, raven
Sean Fadel, Jigglypuff, horse
Arletha Watsica, Weepinbell, alligator
Rachael Tillman, Butterfree, guinea pig
Lupe Larson, Chansey, tiger
Fredia Hilll, Starmie, yak
Dr. Adell Baumbach, Magnemite, hamster
Elinore Reichel, Machoke, trout
Solomon Waters DDS, Electabuzz, gnat
Vincenzo Shields, Pidgey, lion
Cassandra Glover, Poliwhirl, dog
Rossana Stanton, Caterpie, butterfly
Ms. Jame Schoen, Spearow, mosquito
Yevette Jerde, Aerodactyl, squirrel
Michael Rutherford, Pidgey, snake
Ms. Brett Russel, Mewtwo, herring
Lakeisha Walsh, Dratini, ox
Joelle Predovic, Magmar, rat
Arla Gulgowski, Clefable, porpoise
Rodolfo Stiedemann, Weezing, pig
Peter Hettinger, Marowak, ant
Mr. Yaeko Price, Golduck, muskrat
Berenice Stehr, Aerodactyl, gerbil
Mr. Judson Haag, Starmie, ape
Flavia Nitzsche, Clefairy, marten
Elvera Reichert, Vaporeon, zebra
Bud Altenwerth, Blastoise, cattle
Sharmaine Kshlerin, Caterpie, horse
Alina Bosco, Nidoqueen, elephant
