Isaac Kuhic, Machoke, otter
Jeremiah Lubowitz, Slowbro, zebra
Margarite Kulas, Meowth, cicada
Ferdinand Tromp I, Machoke, trout
Miss Eric Konopelski, Oddish, jackal
Herman Kuhn, Rhydon, hamster
Miss Vicente Gibson, Squirtle, sea lion
Bradly Ankunding, Raticate, goose
Nigel Stamm, Bulbasaur, raven
Mrs. Leonora Dietrich, Gengar, hare
Alysha Konopelski, Magmar, snail
Abe Batz Sr., Marowak, mallard
Xiao Kerluke, Victreebel, badger
Carlita Quigley V, Vaporeon, hornet
Mrs. Arvilla Renner, Machamp, goat
Freddy Dach, Abra, seal
Meridith Jenkins, Voltorb, armadillo
Graig Grant, Nidorina, oyster
Jackelyn Murazik, Ekans, llama
Ms. Shanika Lueilwitz, Golbat, beetle
Stefan Kuphal, Pinsir, beaver
Giuseppe Crooks, Tauros, scorpion
Peggy Boyle, Goldeen, louse
Bennie Nienow, Raichu, locust
Pasquale Kessler, Parasect, ape
Adan Brekke DDS, Wartortle, reindeer
Nicky Zemlak, Arbok, baboon
Mrs. Tawanna Carroll, Kabuto, tiger
Neil Lind, Exeggcute, camel
Odell Kreiger, Alakazam, rat
Dudley Marks, Nidorino, beetle
Gladys Kemmer DVM, Dugtrio, weasel
Dr. Halley Herzog, Slowbro, frog
Mitsuko Robel, Kangaskhan, dog
William Rath, Scyther, mule
Lashanda Wuckert, Wigglytuff, fly
Ignacio Goodwin, Mankey, ox
Shad Smith, Psyduck, mink
Pinkie O'Kon, Ekans, dinosaur
Silas Reilly, Nidoran, rhinoceros
Ms. Rickie Stark, Parasect, deer
Corey Spencer II, Oddish, whale
Dr. Demetrius Jaskolski, Arcanine, elephant
Ms. Alayna Crist, Articuno, yak
Orpha Howe, Machop, crab
Honey Emmerich, Venonat, dolphin
Scott Gorczany, Lapras, bee
Althea Crona, Jolteon, dinosaur
Sparkle Bayer Sr., Pikachu, hyena
Chi Mertz V, Electabuzz, moose
