Jeffry Mohr, Electabuzz, manatee
Etsuko Abshire, Staryu, oyster
Cory Breitenberg, Rattata, leopard
Ollie Zboncak, Caterpie, wasp
Ariel Bauch, Bellsprout, hamster
Titus Willms, Nidoran, moose
Nam Hauck, Lapras, termite
Irvin Ritchie, Voltorb, ape
Miss Gertude Kshlerin, Nidoking, mallard
Mrs. Johnny Abshire, Magmar, squirrel
Sharon Hane, Hypno, mole
Ms. Albert Mohr, Magmar, dog
Gavin Schuster Jr., Koffing, locust
Lovie McCullough, Krabby, elephant
Fanny Medhurst, Seadra, beetle
Tory Bergnaum, Electabuzz, woodchuck
Keith Heidenreich, Gengar, chimpanzee
Jamie Jerde, Weepinbell, baboon
Cheyenne Bechtelar MD, Parasect, coyote
Leanna Abbott, Clefable, cockroach
Willis Doyle, Muk, ape
Dallas Romaguera, Starmie, gerbil
Randy Mitchell, Nidorina, tiger
Miss Jon Wisozk, Poliwhirl, elk
Vonda Becker, Kabuto, herring
Jay Kuvalis, Clefairy, pug
Antoine Reichel, Eevee, coyote
Roxie Fisher, Mankey, lizard
Delta Nitzsche, Golbat, woodchuck
Jacinta Friesen, Arbok, cod
Ramiro Hand, Machop, water buffalo
Kelvin Kassulke, Ekans, turtle 
Lacy Mitchell I, Dragonair, mosquito
Miss Bud Bayer, Wartortle, elephant
Lurlene Gorczany, Fearow, fish
Sherman Lueilwitz, Victreebel, crab
Renda Bradtke, Exeggcute, termite
Perla Kassulke, Tentacool, badger
Mr. Lester Cole, Psyduck, serval
Marla Koss, Seaking, sea lion
Epifania Shields Jr., Poliwrath, sardine
Stuart Kreiger, Gengar, ant
Adelaide Corkery, Rhyhorn, salmon
Shanna Hartmann, Golem, cattle
Virginia Stark V, Scyther, shark
Miss Jerlene Pfannerstill, Nidorino, manatee
Rickie Williamson DDS, Electabuzz, oyster
Cecily Sipes, Gloom, snake
Mr. Ellsworth Nienow, Gastly, gnu
Guillermina Stehr, Primeape, lizard
