Rick Schuppe, Kingler, bat
Napoleon Goyette PhD, Pidgey, sea lion
Alan Huel, Gengar, ox
Bernardo Cassin, Ditto, buffalo
Venessa Goldner, Slowbro, baboon
Duncan Kozey, Butterfree, deer
Dolly Wehner, Drowzee, bee
An Heller V, Dodrio, buffalo
Griselda Ondricka, Koffing, skunk
Elina Mohr MD, Persian, water buffalo
Miss Marvin Klocko, Chansey, badger
Martha Morissette, Haunter, monkey
Susy Bergnaum DVM, Dodrio, clam
Dong Cormier Jr., Ekans, trout
Henrietta DuBuque II, Nidoran, eel
Cristopher Welch, Nidorino, mammoth
Ollie Schmeler II, Weepinbell, hedgehog
Shan Simonis, Electabuzz, guinea pig
Brenton Skiles DDS, Blastoise, baboon
Chrystal Rau, Articuno, herring
Ms. Tamera Daniel, Spearow, gorilla
Corinne Cartwright, Caterpie, minnow
Lou Collier, Lickitung, cat
Tashina Halvorson, Venomoth, wildebeest
Gerry Waelchi, Kakuna, squirrel
Miss Carletta Leffler, Wigglytuff, caribou
Emelina Johnston PhD, Abra, gerbil
Ms. Basilia Hegmann, Rapidash, leopard
Miss Harvey Bogisich, Dratini, wolf
Bret Metz III, Venomoth, serval
Lesley Wisoky, Pinsir, crab
Gilberto Schmidt, Pikachu, elephant
Tanner Hartmann, Wartortle, fish
Marget Erdman, Rattata, beetle
Lorina Casper, Vaporeon, hyena
Dr. King Graham, Mew, dinosaur
Ferdinand Green, Cubone, dolphin
Mrs. Richard Little, Rhydon, buffalo
Mrs. Lelah Dietrich, Beedrill, chimpanzee
Rickey Feest, Machamp, mosquito
Nedra Blick, Muk, wildebeest
Horace Kerluke, Mew, hamster
Jeremy Harber, Electrode, worm
Bailey Shanahan, Hypno, coyote
Barbar Greenfelder, Scyther, hornet
Marceline Kessler, Sandslash, manatee
Ms. Laverne Lang, Rapidash, woodchuck
Kristine Dicki PhD, Pikachu, squirrel
Mr. Milford McClure, Victreebel, goat
Quinton Daniel IV, Sandshrew, badger
