Iraida Kerluke, Oddish, butterfly
Clemmie Morissette III, Paras, gorilla
Jewell Prohaska, Omanyte, squirrel
Kirby Considine, Primeape, seal
Duane Wintheiser, Victreebel, eel
Fritz Shields, Pidgeot, cattle
Maryellen Nikolaus, Kabuto, fox
Casimira Altenwerth PhD, Tentacool, minnow
Joe Pfeffer, Ekans, swan
Judi Adams I, Fearow, alligator
Sharmaine Goldner IV, Poliwag, shark
Nestor Bosco, Jynx, dinosaur
Shameka Schaden V, Blastoise, wallaby
Jeffry Jacobson, Caterpie, cicada
Piedad Bosco III, Gyarados, goose
Mattie Harvey, Drowzee, cat
Easter Ernser, Muk, herring
Miss Johnnie Collier, Seaking, worm
Micheal Jenkins I, Muk, raven
Luigi Kunze, Sandslash, dolphin
Corine Goldner, Rhydon, jellyfish
Mr. Mariann Abernathy, Vileplume, dog
Dedra Wehner, Slowpoke, skunk
Refugio Watsica, Dewgong, wallaby
Francis Beer, Alakazam, camel
Dr. Dwain Leuschke, Paras, jellyfish
Joel Rohan, Ninetales, cod
Taylor Parker, Snorlax, cockroach
Dr. Ben Deckow, Kangaskhan, guinea pig
Jazmin Braun V, Koffing, antelope
Simon Jerde, Wigglytuff, deer
Malisa Howe, Lapras, eagle
Tequila Howe, Mankey, cattle
Mr. Alfreda Hintz, Moltres, tiger
Jacquetta Sauer, Golem, minnow
Lizzette Hickle I, Vileplume, frog
Terresa Lueilwitz, Electrode, llama
Mario McClure, Haunter, water buffalo
Mrs. Lenora Rippin, Spearow, lizard
Marguerite Torp, Dratini, locust
Lai Brown, Mewtwo, alpaca
Jamey Flatley III, Dugtrio, prairie dog
Dr. Orval O'Conner, Dewgong, mosquito
Wilfred Pacocha V, Graveler, baboon
Margery Wiegand, Clefairy, shark
Tomas Becker Jr., Rhydon, crow
Jon Schneider DDS, Cubone, leopard
Mr. Robyn D'Amore, Ninetales, dolphin
Dexter Jacobs, Dragonair, goat
Dr. Bryce Gulgowski, Vulpix, fox
