Marty Watsica, Pikachu, minnow
Odessa Klein, Weepinbell, fox
Milan Dicki, Diglett, impala
Fabian Zieme, Goldeen, lizard
Waltraud Murazik, Golbat, armadillo
Tristan Casper, Onix, eagle
Melodi Jones, Beedrill, mule
Madison Heathcote, Parasect, fly
Dwight Smith, Primeape, sardine
Vanita Runolfsson, Charizard, armadillo
Nick Brown, Vaporeon, clam
Fredric Harber, Seaking, crab
Miss Joaquin Mayert, Weedle, badger
Britteny Shields, Charmander, armadillo
Katheryn Hirthe, Metapod, alpaca
Carmine Stiedemann III, Meowth, alpaca
Miss Karan Breitenberg, Drowzee, alligator
Brain Schimmel, Magnemite, camel
Eleonor Paucek II, Haunter, donkey
Thalia Torphy, Nidoking, gorilla
Vada Ziemann, Slowbro, cricket
Irving Weimann, Gyarados, shark
Bobbie Morissette, Nidoran, grasshopper
Miss Eugene Torphy, Dodrio, caribou
Mrs. Derrick Bayer, Bulbasaur, impala
Adam Stiedemann, Mankey, sheep
Arianna Hansen, Dragonair, tortoise
Elwood Larkin I, Magneton, wombat
Nilsa Abernathy, Dugtrio, lizard
Virgilio Marks, Oddish, yak
Dr. Henry Herman, Kakuna, cattle
Miss Walton Weber, Gloom, fish
Janie Will, Charmeleon, fly
Vella Witting, Omastar, hippopotamus
Clarence Waelchi, Onix, donkey
Sandy Pouros, Parasect, porcupine
Mrs. Rhoda Langosh, Ekans, snail
Florentina Schowalter DVM, Nidoking, fish
Tyler Schamberger, Gastly, hippopotamus
Ms. Williams Schaefer, Nidoqueen, bee
Loren Lehner, Nidoran, eel
Velvet Tromp, Nidoking, toad
Gertrude Luettgen, Seadra, horse
Ann Herman, Rhyhorn, zebra
Sang Harber, Seaking, cheetah
Andre Gerhold, Marowak, chimpanzee
Kendra Reichert, Charmeleon, gorilla
Shea Raynor, Weezing, herring
Dr. Dierdre Kling, Gengar, frog
Dong Mraz, Machoke, zebra
