Rashad Kuphal, Poliwag, goat
Francisco Schneider, Weedle, jackal
Melodee Halvorson, Meowth, butterfly
Cathey Hilll, Tentacruel, otter
Donnie Bergnaum, Squirtle, kangaroo
Mrs. Brady Satterfield, Bulbasaur, termite
Michael Hagenes, Nidorino, cricket
Mitchel Heathcote, Clefairy, toad
Hugh Rohan, Ninetales, spider
Gilberto Zulauf, Pidgeot, porcupine
Mike Beier, Sandshrew, salmon
Chester Ruecker, Squirtle, zebra
Mr. Ellamae Spinka, Geodude, mule
Robby Murray, Kabuto, prairie dog
Gaylord Schoen II, Hypno, bee
Mr. Micah Mante, Moltres, cricket
Iraida Beer, Ivysaur, dolphin
Dr. Garland Witting, Persian, worm
Miss Kendall Bernhard, Primeape, bee
Mabelle Jones, Omanyte, marten
Jere Balistreri Sr., Slowpoke, goat
Aurelio Crooks IV, Jigglypuff, panda
Coretta Rowe, Primeape, chimpanzee
Sterling Hilpert, Psyduck, alligator
Ivan Spencer, Hitmonchan, cockroach
Adalberto Lueilwitz MD, Tauros, goat
Brooks Mante, Lapras, rabbit
Mr. Reinaldo Goyette, Gloom, dog
Ashly Mante, Abra, squirrel
Misti Koelpin, Snorlax, ant
Leo Daugherty, Mewtwo, pug
Samuel Windler V, Tauros, llama
Everett Kessler V, Charizard, crocodile
Annette Greenholt, Alakazam, monkey
Wilbur Jenkins, Mew, wallaby
Kathi Sawayn, Ninetales, fly
Mallory Mraz, Fearow, giraffe
Sharla Thompson, Ponyta, crocodile
Cassy Ryan, Porygon, rat
Charolette Lehner, Nidoran, goat
Alberto Lakin, Diglett, leopard
Pablo Batz I, Dratini, rabbit
Monty Russel, Gengar, scorpion
Numbers Halvorson, Goldeen, hamster
Sigrid Schinner, Poliwag, lizard
Diego Weissnat, Cloyster, macaw
Jackson Williamson, Clefairy, oyster
Eileen Franecki, Staryu, fish
Tami Rosenbaum, Dodrio, bat
Branden Pacocha, Muk, cicada
